rank,code,name,deltaE_match,visual_display_L,visual_display_a,visual_display_b,visual_crop_path,machine_L,machine_a,machine_b,standard_L,standard_a,standard_b
1,W046,浅灰色,3.711155417595201,68.96518116443855,0.13582247647914159,8.810761030926706,output_128/glue_visual_library/visual_crops/W046_浅灰色.png,76.41,0.5,10.48,76.41,0.5,10.48
2,W063,木纹灰,4.604183742955101,70.64735448192015,-1.9472563480399385,1.4842591877073374,output_128/glue_visual_library/visual_crops/W063_木纹灰.png,75.47,-1.39,4.54,75.47,-1.39,4.54
3,W055,电信灰2,5.411088695095169,75.50011495846125,-2.7092561351809152,1.3552878226720466,output_128/glue_visual_library/visual_crops/W055_电信灰2.png,81.21,-2.27,5.93,81.21,-2.27,5.93
4,W053,灰白色,5.577871356892968,71.03141162129052,-1.923478470767015,0.2686581593271953,output_128/glue_visual_library/visual_crops/W053_灰白色.png,89.57,-2.07,2.81,89.57,-2.07,2.81
5,W101,米色,6.012958757735798,79.26360752764981,1.201569891129406,7.569337990188862,output_128/glue_visual_library/visual_crops/W101_米色.png,80.46,1.15,8.0,80.46,1.15,8.0
6,W052,土灰色,6.459799976500485,68.60817097636539,-2.7032993180209908,0.32043299558557337,output_128/glue_visual_library/visual_crops/W052_土灰色.png,83.2,-1.99,5.22,83.2,-1.99,5.22
7,W096,慕云灰,6.54952290432461,76.95405830915915,-5.1632213402673095,11.536977381976898,output_128/glue_visual_library/visual_crops/W096_慕云灰.png,76.9,-4.65,11.02,76.9,-4.65,11.02
8,W054,电信灰1,6.591409723196593,67.58372616424025,-1.962582565593396,0.33920918955923085,output_128/glue_visual_library/visual_crops/W054_电信灰1.png,84.55,-2.61,6.98,84.55,-2.61,6.98
9,W035,奶茶色,7.229273170385527,65.2199123219568,-1.4615303108164168,12.821150702646978,output_128/glue_visual_library/visual_crops/W035_奶茶色.png,79.76,-1.14,14.77,79.76,-1.14,14.77
10,W062,星光灰,7.605280238787692,64.30188748289147,-2.014401513068753,1.8687185447114452,output_128/glue_visual_library/visual_crops/W062_星光灰.png,72.16,-1.09,5.52,72.16,-1.09,5.52
