rank,code,name,deltaE_match,visual_display_L,visual_display_a,visual_display_b,visual_crop_path,machine_L,machine_a,machine_b,standard_L,standard_a,standard_b
1,W022,金黄色,8.344398003843553,67.53613033916993,4.17672746190223,66.47635878362081,output_128/glue_visual_library/visual_crops/W022_金黄色.png,76.66,5.95,62.6,76.66,5.95,62.6
2,W110,象牙黄,12.708606921299605,84.45803044177042,0.8755649125036236,27.592878906713626,output_128/glue_visual_library/visual_crops/W110_象牙黄.png,81.06,1.66,28.57,81.06,1.66,28.57
3,W105,淡象牙黄,14.216058836053955,86.1966831803586,-1.0721308877463254,25.327703552865422,output_128/glue_visual_library/visual_crops/W105_淡象牙黄.png,85.85,-0.86,25.87,85.85,-0.86,25.87
4,W032,柠檬黄,14.22840597700633,70.71843926154939,-6.260149277639071,30.88900007303028,output_128/glue_visual_library/visual_crops/W032_柠檬黄.png,82.78,-5.38,30.47,82.78,-5.38,30.47
5,W112,土黄色,14.331539304899065,66.08192371792387,5.19152508977494,32.052527055813826,output_128/glue_visual_library/visual_crops/W112_土黄色.png,65.15,5.86,31.84,65.15,5.86,31.84
6,W108,棕米黄,14.847941314568185,78.86342707733726,-0.007394546605477004,21.33216261355546,output_128/glue_visual_library/visual_crops/W108_棕米黄.png,76.75,0.93,22.21,76.75,0.93,22.21
7,W111,沙黄色,15.063436737235918,80.91639955518546,0.8272882749115751,20.894267196890336,output_128/glue_visual_library/visual_crops/W111_沙黄色.png,75.8,1.6,21.42,75.8,1.6,21.42
8,W027,木纹黄,15.350168863548225,64.1860383435628,-6.766066252947289,38.56977975195694,output_128/glue_visual_library/visual_crops/W027_木纹黄.png,80.57,-7.4,43.2,80.57,-7.4,43.2
9,W113,暗黄,15.453039686247775,66.12450884406238,0.2223094184480301,27.358395057746108,output_128/glue_visual_library/visual_crops/W113_暗黄.png,69.87,0.63,27.6,69.87,0.63,27.6
10,W028,荧光色,15.760835505943465,62.852318022253144,-3.6919517725567674,35.931734657202256,output_128/glue_visual_library/visual_crops/W028_荧光色.png,75.73,-3.73,39.56,75.73,-3.73,39.56
