rank,code,name,deltaE_match,visual_display_L,visual_display_a,visual_display_b,visual_crop_path,machine_L,machine_a,machine_b,standard_L,standard_a,standard_b
1,W102,哑白,1.261355705290721,85.62726113658015,-1.6952076684824124,11.17879445232286,output_128/glue_visual_library/visual_crops/W102_哑白.png,89.17,-1.43,12.08,89.17,-1.43,12.08
2,W100,爵士白,2.159884478919789,83.67487169555967,-2.2186052313062365,9.85077762241362,output_128/glue_visual_library/visual_crops/W100_爵士白.png,91.72,-1.45,10.39,91.72,-1.45,10.39
3,W099,浅灰白,2.161695656432438,85.4979777476182,-1.3153318474383169,12.492847777255122,output_128/glue_visual_library/visual_crops/W099_浅灰白.png,83.97,-0.97,13.52,83.97,-0.97,13.52
4,W103,浅米白,4.060820154487521,83.07122953876193,-0.36091574219010436,13.612236394645771,output_128/glue_visual_library/visual_crops/W103_浅米白.png,89.39,-0.3,15.06,89.39,-0.3,15.06
5,W106,浅象牙黄,4.433897106812688,87.33241860760857,-1.9918168863899965,16.774891723028574,output_128/glue_visual_library/visual_crops/W106_浅象牙黄.png,88.61,-0.94,18.01,88.61,-0.94,18.01
6,W107,淡米黄,4.788330981134644,86.50563472890808,-3.437171457988497,17.118481980683796,output_128/glue_visual_library/visual_crops/W107_淡米黄.png,81.03,-2.59,17.51,81.03,-2.59,17.51
7,W098,星光白,4.845392297445033,85.36603765863202,-0.7226336976547953,3.689077451460898,output_128/glue_visual_library/visual_crops/W098_星光白.png,83.58,0.04,3.94,83.58,0.04,3.94
8,W097,象牙白,6.362862448881192,85.22074473971495,-2.4037783615079578,20.226755787634907,output_128/glue_visual_library/visual_crops/W097_象牙白.png,87.44,-1.69,20.47,87.44,-1.69,20.47
9,W109,米黄,6.367272316005085,86.2937369777445,-1.8485193322348437,20.32347543840092,output_128/glue_visual_library/visual_crops/W109_米黄.png,78.87,-0.71,19.95,78.87,-0.71,19.95
10,W101,米色,6.64144363416153,79.26360752764981,1.201569891129406,7.569337990188862,output_128/glue_visual_library/visual_crops/W101_米色.png,80.46,1.15,8.0,80.46,1.15,8.0
