编号,名称,LAB
W001,大红,"44.5, 46.99, 19.2"
W002,正红,"39.73, 39.58, 14.35"
W003,中国红,"43.52, 53.88, 20.92"
W004,宝石红,"43.31, 40.26, 5.81"
W005,深红,"34.6, 21.8, 9.75"
W006,砖红,"40.4, 29.93, 18.27"
W007,深桔红,"47.06, 44.97, 26.33"
W008,紫罗兰,"33.39, 19.9, -12.12"
W009,深木纹,"43.21, 22.58, 11.43"
W010,黄古铜,"47.01, 16.11, 18.61"
W011,深暗黄,"54.47, 16.8, 29.38"
W012,暗红,"45.58, 23.02, 17.15"
W013,深棕铜,"39.36, 15.73, 4"
W014,枣红,"33.49, 15.1, 4.59"
W015,桔红,"55.74, 43.62, 41.71"
W016,橙红色,"52.79, 33.02, 27.21"
W017,橙黄,"58.99, 39.33, 43.26"
W018,浅红,"64.88, 18.25, 19.19"
W019,霞红,"67.99, 20, 41.14"
W020,桔黄,"68.02, 22.78, 51.18"
W021,浅黄,"72.39, 14.96, 48.03"
W022,金黄色,"76.66, 5.95, 62.6"
W023,正黄,"76.2, 15.92, 65.94"
W024,亮黄,"79.92, 9.94, 64.96"
W025,丁香棕,"65.41, 7.59, 43.6"
W026,金色,"75.55, 0.11, 60.43"
W027,木纹黄,"80.57, -7.4, 43.2"
W028,荧光色,"75.73, -3.73, 39.56"
W029,杏黄色,"71.89, 0.55, 36.48"
W030,浅暗黄,"76.19, -1.67, 35.32"
W031,淡雅黄,"77.97, -2.16, 28.66"
W032,柠檬黄,"82.78, -5.38, 30.47"
W033,浅米黄,"82.38, -7.28, 19.97"
W034,深米黄,"72.81, 1.87, 25.8"
W035,奶茶色,"79.76, -1.14, 14.77"
W036,深灰白,"75.64, -2.41, 10.16"
W037,典雅灰,"70.4, -2.71, 16.05"
W038,深哑白,"81.23, -3.49, 20.24"
W039,淡米白,"76.76, -0.74, 15.94"
W040,棕黄色,"75.74, 2.18, 21.83"
W041,浅棕铜,"75.55, 2.35, 15.94"
W042,棕铜色,"64.95, 0.73, 17.23"
W043,深黄色,"63.01, 3.4, 14.5"
W044,泥黄,"60.89, 2.33, 19.65"
W045,淡驼色,"67.58, 1.1, 15.28"
W046,浅灰色,"76.41, 0.5, 10.48"
W047,浅棕桐,"65.94, 0.97, 14.8"
W048,灰米色,"73.34, 3.62, 10.9"
W049,浅米色,"73.54, -0.91, 8.07"
W050,灰褐色,"73.26, -2.62, 2.27"
W051,淡灰色,"85.17, -3.06, 2.24"
W052,土灰色,"83.2, -1.99, 5.22"
W053,灰白色,"89.57, -2.07, 2.81"
W054,电信灰1,"84.55, -2.61, 6.98"
W055,电信灰2,"81.21, -2.27, 5.93"
W056,玛瑙灰,"77.14, -1.45, 2.35"
W057,大理石灰,"74.86, -0.32, -1.93"
W058,东方灰,"77.49, -3.85, -0.45"
W059,灰色,"62.28, -2.57, -2.22"
W060,云朵灰,"70.67, -2.3, -1.3"
W061,瓦灰色,"66.3, -1.5, 5.35"
W062,星光灰,"72.16, -1.09, 5.52"
W063,木纹灰,"75.47, -1.39, 4.54"
W064,乌托银,"58.72, -2.12, 0.87"
W065,淡雅灰,"56.67, -0.88, 1.31"
W066,中灰色,"60.14, -1.12, -0.29"
W067,曙光灰,"55.19, -2.5, -4.01"
W068,米灰色,"58.13, -1.98, -3.15"
W069,云石灰,"62.69, -2.54, -0.96"
W070,淡银灰,"69.01, -2.52, -2.25"
W071,烟灰色,"63.58, -2.88, 2.47"
W072,石英灰,"59.77, -3.76, -9.93"
W073,蓝灰色,"47.04, -2.71, -7.62"
W074,铁灰色,"50.28, -2.21, -1.19"
W075,意大利灰,"63.85, -3.86, -4.24"
W076,皇室灰,"57.39, -5.37, -7.28"
W077,窗灰,"58.05, -1.81, -7.69"
W078,珍珠灰,"49.63, 1.18, 2.13"
W079,钛晶灰,"41.96, 0.97, 2.06"
W080,中行灰,"50.81, 0.5, 0.62"
W081,深兰灰,"33.62, -1.98, -3.35"
W082,奥地利灰,"35.06, -3.33, -5.71"
W083,深灰,"38.06, -1.81, -5.16"
W084,最深灰,"34.87, -0.9, -1.46"
W085,炭灰色,"32.76, -1.42, -2.78"
W086,太空银,"30.37, -0.18, -1.84"
W087,乌托灰,"34.22, 0.09, -0.35"
W088,太空灰,"36.94, -0.41, -1.1"
W089,布朗灰,"51.2, -1.08, 1.97"
W090,玉石灰,"40.72, -0.22, -3.48"
W091,水泥灰,"45.4, -2.45, -1.48"
W092,罗马灰,"45.78, -2.07, 0.27"
W093,深银灰,"40.74, -1.16, 0.83"
W094,棕灰色,"35.82, 0.31, -1.08"
W095,暗灰色,"42.77, 1.65, -1.27"
W096,慕云灰,"76.9, -4.65, 11.02"
W097,象牙白,"87.44, -1.69, 20.47"
W098,星光白,"83.58, 0.04, 3.94"
W099,浅灰白,"83.97, -0.97, 13.52"
W100,爵士白,"91.72, -1.45, 10.39"
W101,米色,"80.46, 1.15, 8"
W102,哑白,"89.17, -1.43, 12.08"
W103,浅米白,"89.39, -0.3, 15.06"
W104,金沙黄,"81.77, -1.1, 20.44"
W105,淡象牙黄,"85.85, -0.86, 25.87"
W106,浅象牙黄,"88.61, -0.94, 18.01"
W107,淡米黄,"81.03, -2.59, 17.51"
W108,棕米黄,"76.75, 0.93, 22.21"
W109,米黄,"78.87, -0.71, 19.95"
W110,象牙黄,"81.06, 1.66, 28.57"
W111,沙黄色,"75.8, 1.6, 21.42"
W112,土黄色,"65.15, 5.86, 31.84"
W113,暗黄,"69.87, 0.63, 27.6"
W114,橄榄绿,"46.23, -2, 10.27"
W115,深香槟,"45.39, 2, 19.12"
W116,浅香槟,"54.55, -1.6, 13.31"
W117,灰棕色,"60.69, 0.72, 12.97"
W118,芦苇绿,"58.8, -3.93, 14.63"
W119,土棕色,"60.79, -1.19, 11.17"
W120,驼色,"56.59, 2.87, 17.45"
W121,浅棕色,"59.91, 4, 15.4"
W122,咖啡色,"37.23, 0.88, 9.77"
W123,浅咖啡,"42.12, 2.1, 8.16"
W124,青咖啡,"40.45, 0.14, 6.32"
W125,亚麻色,"49.6, 2.88, 6.16"
W126,栗棕色,"48.03, 1.71, 6.3"
W127,泥士色,"55.42, 10.57, 29.48"
W128,奶咖色,"63.4, 5.37, 4"
