编号,名称,LAB
强鹰1,米白,"90.45, -1.12, 16.72"
强鹰2,象牙白,"86.83, -2.95, 17.19"
强鹰3,米黄,"86.56, -1.88, 34.28"
强鹰4,浅黄,"75.64, -2.51, 16.92"
强鹰5,土黄,"66.89, 1.34, 20.35"
强鹰6,广告黄,"78.52, 8.59, 72.18"
强鹰7,元宝金,"75.44, 3.56, 45.48"
强鹰8,浅粉红,"66.04, 5.52, 17.59"
强鹰9,浅红灰,"67.87, 3.01, 11.26"
强鹰10,粉红,"69.28, 19.94, 10.05"
强鹰11,玫瑰金,"38.63, 5.5, 11.38"
强鹰12,闪玫瑰金,"58.24, 13.34, 25.65"
强鹰13,香槟,"44.25, -0.49, 10.27"
强鹰14,香槟,"47.04, -1.16, 9.36"
强鹰15,浅香槟,"45.85, -0.7, 16.3"
强鹰16,棕色,"62.46, 5.14, 29.91"
强鹰17,棕红,"35.54, 9.17, 9.32"
强鹰18,咖啡,"47.5, 8.08, 20.9"
强鹰19,咖啡,"35.77, 6.06, 8.67"
强鹰20,古铜,"35.28, 4.61, 4.37"
强鹰21,红古铜,"32.82, 7.27, 6.8"
强鹰22,浅灰,"68.19, -1.76, 0.2"
强鹰23,中灰,"45.34, -1.35, -4.72"
强鹰24,深灰,"38.94, -0.94, -4.56"
强鹰25,强鹰25闪银,"72.91, -1.09, -1.54"
强鹰26,暗蓝,"31.61, -1.68, -21.9"
强鹰27,电信蓝,"38.88, -6.46, -23.19"
强鹰28,苹果绿,"60.13, -29.64, 22.87"
强鹰29,墨绿,"36.85, -8.49, 1.87"
强鹰30,橙黄,"65.43, 26.9, 45.82"
强鹰31,丹霞红,"49.15, 13.79, 15.39"
强鹰32,棕黄,"55.23, 14.76, 31.14"
强鹰33,红木色,"38.22, 16.1, 11.83"
强鹰34,枣红,"38.15, 9.49, 13.46"
强鹰35,大红,"42.4, 41.34, 17.12"
强鹰36,古铜,"38.46, 5.38, 8.25"
强鹰37,红木色,"33.94, 9.06, 7.07"
强鹰38,紫古铜,"33.75, 4.24, 5.63"
强鹰39,玫瑰金,"53.75, 8.33, 22.97"
强鹰40,香槟金,"71.13, 0.08, 27.77"
强鹰41,香槟金,"46.45, 0.66, 10.15"
强鹰42,浅棕,"65.32, 5.32, 24.6"
强鹰43,天蓝,"70.05, -14.54, -10.54"
强鹰44,翠绿,"48.1, -36.45, 10.78"
强鹰45,桔红,"58.94, 31.36, 37.28"
强鹰46,木纹红,"44.08, 16.35, 23.09"
强鹰47,深咖啡,"36.31, 3.22, 5.91"
强鹰48,深玫瑰金,"35.75, 3.45, 4.83"
强鹰49,古铜,"30.81, 1.82, 3.08"
强鹰50,霞红色,"75.35, 4.28, 10.04"
强鹰51,浅米白,"87.19, -2.8, 14.23"
强鹰52,淡灰色,"73.52, -3.41, 6.56"
强鹰53,之江灰,"64.38, 0.53, 10.35"
强鹰54,深雅白,"80.24, 0.38, 19.68"
强鹰55,浅棕色,"68.93, 9.09, 24.44"
强鹰56,玫瑰金,"42.85, 3.36, 8.2"
强鹰57,安泰黄,"63.86, 8.31, 23.35"
强鹰58,禅香色,"73.1, 4.01, 34.43"
强鹰59,桔黄色,"61.53, 13.56, 28.19"
强鹰60,浅绿色,"84.83, -12.48, 7.18"
强鹰61,金黄色,"80.46, 6.05, 59.11"
强鹰62,亮银,"73.5, -1.52, 0.48"
强鹰63,暗黄,"60.83, 1.36, 20.97"
强鹰64,米灰,"70.67, -2.32, 0.85"
强鹰65,深古铜,"35.54, 0.34, 2.18"
强鹰66,蓝灰色,"39.24, -4.22, -8.24"
强鹰67,淡绿色,"53.39, -14.33, 6.16"
强鹰68,深灰,"35.96, -1.86, -2.46"
强鹰69,黄灰色,"68.87, 1.72, 15.88"
强鹰70,淡红色,"84.69, 6.6, 19.43"
强鹰71,棕黄,"58.96, 15.03, 28.01"
强鹰72,宝石蓝,"38.76, -1.73, -28.12"
强鹰73,灰色,"59.95, -0.78, -3.56"
强鹰74,芬兰绿,"46.21, -30.99, -1.79"
强鹰75,淡紫色,"53.32, 11.18, -19.95"
强鹰76,玫瑰金,"39.09, 6.67, 10.43"
强鹰77,钛金色,"47.81, 0.35, 16.35"
强鹰78,咖啡金,"57.1, 9.3, 24.54"
强鹰79,亮古铜,"29.86, 3.82, 5.56"
强鹰80,深哑红,"31.07, 3.98, 6.39"
强鹰81,爵士白,"92.3, -1.09, 8.83"
强鹰82,士灰色,"84.66, -1.95, 4.95"
