编号,名称,LAB
W129,淡雅色,"76.02, 5.74, 12.48"
W130,紫檀色,"67.01, 9.88, 22.83"
W131,浅桔红,"73.89, 8.57, 33.24"
W132,浅粉红,"72.13, 6.77, 7.15"
W133,豆沙色,"54.22, 9.63, 11.3"
W134,粉紫色,"54.91, 5.82, -0.92"
W135,豆沙银,"48.07, 6.11, 4.02"
W136,深霞红,"54.12, 17.11, 16.37"
W137,木纹金,"52.93, 10.29, 20.76"
W138,咖啡金,"41.85, 7.33, 13.11"
W139,深木纹黄,"42.04, 10.11, 16.52"
W140,淡玫瑰金,"49.15, 8.18, 14.91"
W141,浅木纹,"41.26, 13.4, 11.52"
W142,红棕,"33.83, 8.11, 1.63"
W143,红棕古铜,"30.32, 7.02, 2.81"
W144,红木,"35.21, 10.63, 5.32"
W145,红咖啡,"37.5, 6.78, 4.96"
W146,古铜2,"37.37, 6.15, 11.72"
W147,亮古铜,"36.26, 10.36, 9.6"
W148,黑古铜,"31.85, 5.69, 4.32"
W149,玫瑰金,"39.5, 6.33, 6.91"
W150,红古铜,"31.31, 8.7, 4.1"
W151,棕古铜,"31.34, 1.76, 4.85"
W152,深酒红,"35.86, 3.35, 6.86"
W153,深古铜,"32.22, 2.1, 3.55"
W154,古铜金,"37.44, 1.98, 4.18"
W155,深古铜金,"32.5, 0.1, 1.96"
W156,天青蓝,"37.62, -4.38, -10.69"
W157,深青蓝,"37.69, -4.48, -7.7"
W158,冰川蓝,"33.47, -2.72, -4.78"
W159,琥珀蓝,"33.66, -6, -13.97"
W160,冰川银,"68.71, 0.9, 6.75"
W161,星光银,"63.77, 0.33, 4.51"
W162,砂灰,"69.29, -0.55, 8.69"
W163,卡其灰,"57.01, 2.43, 12.25"
W164,深卡其灰,"48.28, 4.24, 10.02"
W165,卡其棕,"64.85, 4.36, 21.88"
W166,卡其银,"58.81, 1.68, 7.11"
W167,瑞士蓝,"65.94, 2.33, 4.82"
W168,深蓝,"28.51, -0.92, -8.44"
W169,警蓝,"30.5, 11.44, -23.41"
W170,电信蓝,"30.91, 9.51, -28.37"
W171,湖水蓝,"42.12, 12.84, -45.24"
W172,天蓝,"41.01, -3.37, -42.76"
W173,瓦蓝,"38.53, -4.77, -22.76"
W174,移动蓝,"49.78, -11.77, -41.42"
W175,海洋蓝,"46.07, -8.69, -32.52"
W176,水蓝色,"48.18, -11.01, -18.53"
W177,淡蓝,"64.9, -17.17, -29.57"
W178,北美蓝,"52.53, -8.27, -12.19"
W179,云朵兰,"76.47, -2.59, -14.64"
W180,淡雅蓝,"74.84, -9.25, -7.71"
W181,慕云绿,"46.11, -11.43, 0.06"
W182,玛瑙绿,"51.69, -14.22, 7.45"
W183,松石绿,"62.96, -20.84, 11.12"
W184,绿色,"39.94, -23.62, -3.79"
W185,浅绿色,"44.9, -33.61, 10.23"
W186,农行绿,"53.27, -29, -9.1"
W187,芬兰绿,"64.08, -25.92, -8.12"
W188,翠绿,"53.78, -39.52, -3.24"
W189,淡绿色,"56.12, -33.79, 20.21"
W190,草绿色,"55.47, -34.14, 30.98"
W191,果绿色,"62.01, -27.52, 42.15"
W192,亮绿,"61.32, -29.66, 28.78"
W193,青春白,"82.72, -17.34, 9.64"
W194,灰绿色,"54.62, -8.4, 0.81"
W195,雅典绿,"65.93, -7.44, 13.74"
W196,水晶蓝,"73.31, -10, -2.61"
W197,墨绿,"31.85, -9.28, -0.93"
W198,邮电绿,"38.74, -17.34, -6.42"
W199,紫色,"48.84, 17.22, -15.46"
W200,粉红,"70.15, 24.43, -3.32"
W201,番茄红,"39.01, 17.62, 12.67"
W202,骆驼色,"42.15, 6, 13.86"
W203,深绯色,"29.48, 3.21, 4.29"
