rank,code,name,deltaE_match,visual_display_L,visual_display_a,visual_display_b,visual_crop_path,machine_L,machine_a,machine_b,standard_L,standard_a,standard_b
1,W099,浅灰白,0.5748544640316965,85.4979777476182,-1.3153318474383169,12.492847777255122,output_128/glue_visual_library/visual_crops/W099_浅灰白.png,83.97,-0.97,13.52,83.97,-0.97,13.52
2,W102,哑白,1.5337899846191319,85.62726113658015,-1.6952076684824124,11.17879445232286,output_128/glue_visual_library/visual_crops/W102_哑白.png,89.17,-1.43,12.08,89.17,-1.43,12.08
3,W103,浅米白,1.8464647522167916,83.07122953876193,-0.36091574219010436,13.612236394645771,output_128/glue_visual_library/visual_crops/W103_浅米白.png,89.39,-0.3,15.06,89.39,-0.3,15.06
4,W106,浅象牙黄,2.60093974058505,87.33241860760857,-1.9918168863899965,16.774891723028574,output_128/glue_visual_library/visual_crops/W106_浅象牙黄.png,88.61,-0.94,18.01,88.61,-0.94,18.01
5,W100,爵士白,2.829478194527474,83.67487169555967,-2.2186052313062365,9.85077762241362,output_128/glue_visual_library/visual_crops/W100_爵士白.png,91.72,-1.45,10.39,91.72,-1.45,10.39
6,W107,淡米黄,3.2480783029100637,86.50563472890808,-3.437171457988497,17.118481980683796,output_128/glue_visual_library/visual_crops/W107_淡米黄.png,81.03,-2.59,17.51,81.03,-2.59,17.51
7,W097,象牙白,4.028996957700605,85.22074473971495,-2.4037783615079578,20.226755787634907,output_128/glue_visual_library/visual_crops/W097_象牙白.png,87.44,-1.69,20.47,87.44,-1.69,20.47
8,W109,米黄,4.089070817827428,86.2937369777445,-1.8485193322348437,20.32347543840092,output_128/glue_visual_library/visual_crops/W109_米黄.png,78.87,-0.71,19.95,78.87,-0.71,19.95
9,W111,沙黄色,5.776202611089564,80.91639955518546,0.8272882749115751,20.894267196890336,output_128/glue_visual_library/visual_crops/W111_沙黄色.png,75.8,1.6,21.42,75.8,1.6,21.42
10,W104,金沙黄,5.985982656197999,77.74095575776242,-1.67732909630125,18.948365395270027,output_128/glue_visual_library/visual_crops/W104_金沙黄.png,81.77,-1.1,20.44,81.77,-1.1,20.44
