编号,名称,LAB
以恒01,星光白,"81.81, -0.58, 6.31"
以恒02,爵士白,"89.05, -2.33, 14.39"
以恒03,浅米白,"87.08, -2, 16.71"
以恒04,浅灰白,"80.67, -0.91, 14.26"
以恒05,淡象牙黄,"82.11, -0.62, 26.35"
以恒06,淡米黄,"78.38, -2.15, 17.07"
以恒07,棕米黄,"73.51, 0.92, 20.45"
以恒08,米黄,"77.4, -0.35, 19.72"
以恒09,深灰白,"72.48, -3.47, 11.38"
以恒10,淡雅黄,"74.49, -1.78, 26.54"
以恒11,象牙黄,"75.81, 1.35, 26.71"
以恒12,沙黄色,"73, 1.48, 20.42"
以恒13,深米黄,"70.91, 1.92, 23.51"
以恒14,棕黄色,"71.45, 2.51, 20.24"
以恒15,淡米白,"74.59, -1.1, 15.63"
以恒16,淡驼色,"65.02, 0.82, 16.1"
以恒17,浅灰色,"71.68, 0.38, 11"
以恒18,浅棕桐,"60.83, 1.73, 14.12"
以恒19,棕桐色,"60.59, 0.91, 15.79"
以恒20,泥黄,"58.93, 2.44, 17.66"
以恒21,驼色,"57.3, 2.14, 16.84"
以恒22,浅棕色,"56.97, 3.39, 14.1"
以恒23,卡其黄,"63, 4.79, 22"
以恒24,卡其灰,"53.37, 2.22, 10.63"
以恒25,浅香槟,"53.46, -1.74, 14.58"
以恒26,灰棕色,"59.4, -0.09, 13.58"
以恒27,黄香槟,"42.94, 0.2, 13.45"
以恒28,深卡其灰,"47.11, 4.21, 9.61"
以恒29,咖啡色,"36.62, 0.63, 9.59"
以恒30,香槟,"43.92, -1.35, 10.48"
以恒31,青咖啡,"38.41, -0.36, 5.98"
以恒32,栗棕色,"47.52, 1.09, 5.9"
以恒33,荧光色,"70.8, -3.51, 34.82"
以恒34,杏黄色,"68.84, 1.4, 34.35"
以恒35,浅暗黄,"71.8, -2.57, 32.7"
以恒36,暗黄,"65.96, 0.22, 24.46"
以恒37,浅桔红,"70.75, 8.08, 30.65"
以恒38,紫檀色,"65.39, 11.15, 22.56"
以恒39,土黄色,"61.8, 4.51, 28.4"
