patch_index,captured_R,captured_G,captured_B,corrected_R,corrected_G,corrected_B,reference_R,reference_G,reference_B,deltaE_before,deltaE_after
1,66.96600341796875,41.965999603271484,36.965999603271484,109.03399658203125,88.73899841308594,77.29199981689453,115.0,82.0,68.0,14.3543,5.1692
2,159.06300354003906,125.00299835205078,116.18299865722656,195.06300354003906,148.01199340820312,123.4749984741211,194.0,150.0,130.0,10.0657,1.7431
3,59.3129997253418,91.26300048828125,142.6439971923828,93.43800354003906,112.39399719238281,152.63900756835938,98.0,122.0,157.0,11.8508,4.1122
4,54.46699905395508,70.46399688720703,33.46699905395508,92.48600006103516,106.5780029296875,73.48100280761719,87.0,108.0,67.0,12.7096,2.9175
5,93.83399963378906,101.83399963378906,166.5850067138672,126.20600128173828,117.98899841308594,173.58599853515625,133.0,128.0,177.0,12.0845,3.6526
6,100.18599700927734,174.91600036621094,170.04800415039062,95.40499877929688,192.51800537109375,170.16799926757812,103.0,189.0,170.0,6.3735,1.6306
7,171.70899963378906,89.76300048828125,25.08300018310547,215.70700073242188,122.71600341796875,61.722999572753906,214.0,126.0,44.0,13.8925,4.6865
8,26.716999053955078,58.715999603271484,159.88099670410156,82.61100006103516,79.56900024414062,169.8820037841797,80.0,91.0,166.0,10.9502,4.3596
9,147.11500549316406,54.11000061035156,75.11299896240234,191.13600158691406,93.80799865722656,96.39800262451172,193.0,90.0,99.0,14.1844,1.9953
10,43.7140007019043,18.83300018310547,76.7979965209961,94.47599792480469,76.02999877929688,101.73400115966797,94.0,60.0,108.0,13.7417,8.0067
11,134.98500061035156,160.19000244140625,42.40700149536133,151.91600036621094,186.19000244140625,53.18899917602539,157.0,188.0,64.0,7.9606,1.1715
12,185.07200622558594,128.1739959716797,21.37299919128418,225.07200622558594,156.17999267578125,48.143001556396484,224.0,163.0,46.0,11.0438,3.1363
13,0.9150000214576721,25.60300064086914,125.48600006103516,78.65499877929688,68.92900085449219,140.4720001220703,56.0,61.0,150.0,10.3235,5.2026
14,59.624000549316406,114.5469970703125,49.46799850463867,78.11199951171875,142.48399353027344,74.98500061035156,70.0,148.0,73.0,12.1363,2.3114
15,121.2770004272461,23.808000564575195,32.94499969482422,164.4320068359375,82.03600311279297,74.66899871826172,175.0,54.0,60.0,12.4902,6.6179
16,198.8560028076172,171.8419952392578,22.856000900268555,232.19200134277344,197.8419952392578,16.892000198364258,231.0,199.0,31.0,7.5284,0.7582
17,141.11300659179688,57.60599899291992,134.36900329589844,185.13900756835938,86.55799865722656,145.41799926757812,187.0,86.0,149.0,13.1029,0.8486
18,31.7810001373291,113.53199768066406,158.12399291992188,56.86199951171875,130.8520050048828,165.36599731445312,8.0,133.0,161.0,10.1165,4.9707
19,216.1060028076172,228.09800720214844,244.11300659179688,241.1060028076172,241.09800720214844,237.02099609375,240.04299926757812,240.04299926757812,239.10000610351562,8.6101,1.6275
20,175.15899658203125,187.7169952392578,208.0399932861328,199.15899658203125,201.7169952392578,205.20799255371094,199.5,199.5,199.5,9.8101,2.0364
21,128.88400268554688,140.7550048828125,156.79800415039062,153.9550018310547,158.75799560546875,160.79100036621094,161.78599548339844,161.78599548339844,161.78599548339844,10.888,2.7116
22,85.47699737548828,91.89099884033203,103.06500244140625,117.76899719238281,118.73500061035156,117.56800079345703,125.95700073242188,125.95700073242188,125.01399993896484,14.9698,2.9883
23,44.62900161743164,48.62900161743164,57.62900161743164,90.56500244140625,91.06400299072266,88.06400299072266,91.07099914550781,91.07099914550781,91.07099914550781,15.3124,1.9797
24,4.992000102996826,7.636000156402588,12.63599967956543,77.60199737548828,78.11100006103516,71.77999877929688,59.957000732421875,59.957000732421875,59.957000732421875,15.2388,7.094
