patch_index,captured_R,captured_G,captured_B,corrected_R,corrected_G,corrected_B,reference_R,reference_G,reference_B,deltaE_before,deltaE_after
1,67.00499725341797,42.005001068115234,37.005001068115234,112.072998046875,80.76100158691406,73.76599884033203,115.0,82.0,68.0,14.3429,3.3426
2,159.06900024414062,125.03600311279297,116.13300323486328,195.73300170898438,150.03599548339844,129.13299560546875,194.0,150.0,130.0,10.0446,0.5028
3,59.32500076293945,91.28900146484375,142.60299682617188,89.91699981689453,115.31800079345703,153.46400451660156,98.0,122.0,157.0,11.8432,2.735
4,54.49700164794922,70.49299621582031,33.49599838256836,89.60900115966797,106.61299896240234,70.1259994506836,87.0,108.0,67.0,12.7003,1.6057
5,93.85399627685547,101.85399627685547,166.5590057373047,128.85400390625,124.85399627685547,170.69200134277344,133.0,128.0,177.0,12.0764,1.5417
6,100.18000030517578,174.94200134277344,170.0570068359375,100.64800262451172,188.26300048828125,169.69000244140625,103.0,189.0,170.0,6.3632,0.3504
7,171.63400268554688,89.8239974975586,25.128000259399414,214.64599609375,124.08200073242188,42.45399856567383,214.0,126.0,44.0,13.8851,0.713
8,26.625999450683594,58.625,159.87399291992188,78.6240005493164,87.59100341796875,169.1719970703125,80.0,91.0,166.0,10.9741,1.3518
9,147.0449981689453,54.03900146484375,75.04199981689453,194.1230010986328,86.03900146484375,95.36000061035156,193.0,90.0,99.0,14.2045,1.0576
10,43.72800064086914,18.839000701904297,76.77999877929688,93.66600036621094,65.60199737548828,105.53800201416016,94.0,60.0,108.0,13.7384,2.5457
11,135.01699829101562,160.20199584960938,42.42499923706055,158.8979949951172,186.24099731445312,54.470001220703125,157.0,188.0,64.0,7.9562,1.3886
12,185.08999633789062,128.21299743652344,21.389999389648438,222.36300659179688,161.16400146484375,29.66699981689453,224.0,163.0,46.0,11.032,1.3024
13,0.8989999890327454,25.704999923706055,125.58100128173828,71.71800231933594,64.10399627685547,145.41900634765625,56.0,61.0,150.0,10.2992,3.0261
14,59.69900131225586,114.63500213623047,49.54800033569336,63.20000076293945,148.6840057373047,74.48100280761719,70.0,148.0,73.0,12.1041,0.9214
15,121.18699645996094,23.8700008392334,32.96099853515625,172.18699645996094,62.17900085449219,63.637001037597656,175.0,54.0,60.0,12.5022,1.565
16,198.89500427246094,171.8730010986328,22.93000030517578,230.031005859375,199.8730010986328,44.803001403808594,231.0,199.0,31.0,7.5196,0.8465
17,141.14100646972656,57.66400146484375,134.4149932861328,185.15199279785156,90.50299835205078,152.41400146484375,187.0,86.0,149.0,13.0912,1.2097
18,31.78700065612793,113.53099822998047,158.1269989013672,36.35499954223633,137.4929962158203,162.99000549316406,8.0,133.0,161.0,10.1179,2.0124
19,216.16799926757812,228.1529998779297,244.17300415039062,238.4149932861328,238.18299865722656,237.16700744628906,240.04299926757812,240.04299926757812,239.10000610351562,8.6065,0.398
20,175.031005859375,187.6999969482422,207.68699645996094,203.031005859375,203.0290069580078,202.8979949951172,199.5,199.5,199.5,9.7274,0.872
21,128.93099975585938,140.7169952392578,156.78799438476562,158.93099975585938,159.7519989013672,161.81700134277344,161.78599548339844,161.78599548339844,161.78599548339844,10.8921,1.3148
22,85.51100158691406,91.98200225830078,103.04000091552734,119.28199768066406,117.8740005493164,119.53099822998047,125.95700073242188,125.95700073242188,125.01399993896484,14.9261,3.5791
23,44.65299987792969,48.65299987792969,57.65299987792969,88.09700012207031,87.04000091552734,89.1259994506836,91.07099914550781,91.07099914550781,91.07099914550781,15.305,2.0766
24,4.959000110626221,7.638000011444092,12.637999534606934,71.927001953125,71.93699645996094,71.73500061035156,59.957000732421875,59.957000732421875,59.957000732421875,15.24,3.9746
