patch_index,captured_R,captured_G,captured_B,corrected_R,corrected_G,corrected_B,reference_R,reference_G,reference_B,deltaE_before,deltaE_after
1,67.0719985961914,42.08000183105469,37.047000885009766,109.36199951171875,88.80400085449219,77.32099914550781,115.0,82.0,68.0,14.3179,5.0717
2,158.96800231933594,124.88500213623047,116.2490005493164,194.96299743652344,147.89300537109375,123.56199645996094,194.0,150.0,130.0,10.1314,1.6871
3,59.35200119018555,91.29299926757812,142.70599365234375,93.45500183105469,112.27999877929688,152.6790008544922,98.0,122.0,157.0,11.8401,4.1715
4,54.387001037597656,70.38099670410156,33.388999938964844,92.45099639892578,106.5250015258789,73.45099639892578,87.0,108.0,67.0,12.7361,2.9253
5,93.83699798583984,101.83699798583984,166.74400329589844,126.2040023803711,117.9280014038086,173.74400329589844,133.0,128.0,177.0,12.0882,3.6835
6,100.1259994506836,175.07400512695312,170.18499755859375,95.19499969482422,192.38699340820312,170.21299743652344,103.0,189.0,170.0,6.34,1.5918
7,171.6179962158203,89.83000183105469,25.10300064086914,215.61599731445312,122.83799743652344,61.94499969482422,214.0,126.0,44.0,13.8843,4.6787
8,26.773000717163086,58.775001525878906,159.8939971923828,82.62000274658203,79.6050033569336,169.8939971923828,80.0,91.0,166.0,10.9345,4.349
9,147.1719970703125,54.1619987487793,75.18000030517578,191.2010040283203,93.83699798583984,96.44100189208984,193.0,90.0,99.0,14.1698,1.9936
10,43.722999572753906,18.854999542236328,76.7969970703125,94.47899627685547,76.03700256347656,101.54299926757812,94.0,60.0,108.0,13.7372,8.0616
11,134.95799255371094,160.1840057373047,42.400001525878906,151.8820037841797,186.1840057373047,53.1510009765625,157.0,188.0,64.0,7.9629,1.1767
12,185.13600158691406,128.17100524902344,21.246999740600586,225.13600158691406,156.17599487304688,48.06800079345703,224.0,163.0,46.0,11.0384,3.1441
13,0.9539999961853027,25.672000885009766,125.52300262451172,78.66100311279297,68.94300079345703,140.5019989013672,56.0,61.0,150.0,10.3075,5.2014
14,59.698001861572266,114.64299774169922,49.58000183105469,78.12999725341797,142.56100463867188,74.8479995727539,70.0,148.0,73.0,12.101,2.2784
15,121.30400085449219,23.81100082397461,32.959999084472656,164.4739990234375,82.22200012207031,74.68399810791016,175.0,54.0,60.0,12.4851,6.6748
16,198.8419952392578,171.83200073242188,22.82699966430664,232.1750030517578,197.83200073242188,16.858999252319336,231.0,199.0,31.0,7.5314,0.7578
17,141.05599975585938,57.57899856567383,134.3260040283203,185.08299255371094,86.5999984741211,145.3800048828125,187.0,86.0,149.0,13.1156,0.8612
18,31.750999450683594,113.56800079345703,158.13699340820312,56.82099914550781,130.8800048828125,165.24400329589844,8.0,133.0,161.0,10.0995,4.9189
19,216.17799377441406,228.1699981689453,244.18600463867188,241.17799377441406,241.1699981689453,236.80999755859375,240.04299926757812,240.04299926757812,239.10000610351562,8.6048,1.7678
20,175.19500732421875,187.7729949951172,208.04100036621094,199.19500732421875,201.7729949951172,205.08099365234375,199.5,199.5,199.5,9.7914,1.9717
21,128.9510040283203,140.8209991455078,156.86399841308594,154.01800537109375,158.822998046875,160.85699462890625,161.78599548339844,161.78599548339844,161.78599548339844,10.8725,2.7035
22,85.49199676513672,91.86199951171875,103.1240005493164,117.79199981689453,118.69400024414062,117.43099975585938,125.95700073242188,125.95700073242188,125.01399993896484,14.9903,3.0006
23,44.64099884033203,48.64099884033203,57.638999938964844,90.572998046875,91.06800079345703,88.06700134277344,91.07099914550781,91.07099914550781,91.07099914550781,15.3085,1.9792
24,4.9679999351501465,7.622000217437744,12.621999740600586,77.59100341796875,78.11199951171875,71.77200317382812,59.957000732421875,59.957000732421875,59.957000732421875,15.2413,7.0976
