patch_index,captured_R,captured_G,captured_B,corrected_R,corrected_G,corrected_B,reference_R,reference_G,reference_B,deltaE_before,deltaE_after
1,66.96600341796875,41.970001220703125,36.9370002746582,109.90399932861328,87.75199890136719,77.28900146484375,115.0,82.0,68.0,14.3494,4.3261
2,159.0,124.90599822998047,116.2040023803711,195.9980010986328,146.91400146484375,123.88600158691406,194.0,150.0,130.0,10.1123,1.6263
3,59.30500030517578,91.24299621582031,142.6909942626953,90.88099670410156,114.10199737548828,152.5489959716797,98.0,122.0,157.0,11.8564,3.1474
4,54.374000549316406,70.37100219726562,33.37699890136719,93.51599884033203,105.93299865722656,74.43800354003906,87.0,108.0,67.0,12.7394,3.6389
5,93.80500030517578,101.80500030517578,166.71600341796875,124.81800079345703,120.5770034790039,175.0919952392578,133.0,128.0,177.0,12.0997,3.0218
6,100.125,175.0850067138672,170.19500732421875,97.26100158691406,190.08900451660156,166.822998046875,103.0,189.0,170.0,6.3381,1.536
7,171.7259979248047,89.79499816894531,25.107999801635742,214.72300720214844,122.05500030517578,48.71799850463867,214.0,126.0,44.0,13.8815,2.3566
8,26.78700065612793,58.78900146484375,159.91299438476562,74.23500061035156,88.6449966430664,171.01100158691406,80.0,91.0,166.0,10.9306,1.5287
9,147.2259979248047,54.21799850463867,75.22899627685547,193.3730010986328,87.4729995727539,94.1510009765625,193.0,90.0,99.0,14.1536,1.2768
10,43.67900085449219,18.820999145507812,76.78399658203125,95.43099975585938,76.59200286865234,104.13999938964844,94.0,60.0,108.0,13.748,7.5982
11,134.9340057373047,160.17100524902344,42.358001708984375,153.5189971923828,186.17100524902344,63.500999450683594,157.0,188.0,64.0,7.9675,0.7164
12,185.14199829101562,128.17300415039062,21.232999801635742,223.14300537109375,158.19000244140625,41.07699966430664,224.0,163.0,46.0,11.0372,1.5765
13,0.9319999814033508,25.594999313354492,125.46700286865234,71.88999938964844,77.05000305175781,141.6300048828125,56.0,61.0,150.0,10.3258,5.9373
14,59.667999267578125,114.5790023803711,49.534000396728516,83.12899780273438,140.3509979248047,76.0260009765625,70.0,148.0,73.0,12.1241,3.4209
15,121.38300323486328,23.812000274658203,32.98500061035156,166.38400268554688,75.5270004272461,68.54499816894531,175.0,54.0,60.0,12.4709,4.9864
16,198.86199951171875,171.85400390625,22.836000442504883,229.9029998779297,201.718994140625,33.13199996948242,231.0,199.0,31.0,7.5253,1.1152
17,141.0760040283203,57.56800079345703,134.32200622558594,188.82000732421875,82.16300201416016,149.17999267578125,187.0,86.0,149.0,13.1134,0.8679
18,31.73200035095215,113.56400299072266,158.12399291992188,48.20600128173828,131.31100463867188,161.51100158691406,8.0,133.0,161.0,10.0983,2.8282
19,216.13699340820312,228.1300048828125,244.14500427246094,241.14500427246094,241.1219940185547,237.14500427246094,240.04299926757812,240.04299926757812,239.10000610351562,8.6078,1.5766
20,175.21600341796875,187.7519989013672,208.1439971923828,199.68099975585938,201.5489959716797,205.68600463867188,199.5,199.5,199.5,9.8245,2.2317
21,128.91299438476562,140.80999755859375,156.84500122070312,154.9340057373047,158.802001953125,160.86599731445312,161.78599548339844,161.78599548339844,161.78599548339844,10.8769,2.328
22,85.47699737548828,91.85199737548828,103.10199737548828,118.41000366210938,118.03299713134766,117.93699645996094,125.95700073242188,125.95700073242188,125.01399993896484,14.992,3.1235
23,44.61800003051758,48.61800003051758,57.61800003051758,91.05999755859375,90.55899810791016,88.55899810791016,91.07099914550781,91.07099914550781,91.07099914550781,15.3156,1.2454
24,4.955999851226807,7.619999885559082,12.619999885559082,78.19999694824219,77.50900268554688,72.10700225830078,59.957000732421875,59.957000732421875,59.957000732421875,15.242,6.6556
