patch_index,captured_R,captured_G,captured_B,corrected_R,corrected_G,corrected_B,reference_R,reference_G,reference_B,deltaE_before,deltaE_after
1,109.30599975585938,68.1729965209961,45.112998962402344,114.15899658203125,92.26499938964844,87.60800170898438,115.0,82.0,68.0,5.9372,6.2525
2,219.57000732421875,153.43800354003906,116.12100219726562,212.6009979248047,165.4409942626953,145.04600524902344,194.0,150.0,130.0,6.9241,4.7729
3,97.8270034790039,126.95700073242188,159.0540008544922,106.8270034790039,128.96200561523438,164.05999755859375,98.0,122.0,157.0,2.7183,2.8702
4,87.8479995727539,106.35600280761719,42.930999755859375,95.83899688720703,115.6449966430664,85.29000091552734,87.0,108.0,67.0,5.7563,4.6033
5,141.63499450683594,140.75799560546875,194.64300537109375,145.63499450683594,141.8179931640625,198.01699829101562,133.0,128.0,177.0,4.6999,5.2332
6,113.83000183105469,214.41099548339844,187.04100036621094,107.58399963378906,199.1649932861328,184.0449981689453,103.0,189.0,170.0,6.6497,3.1345
7,229.3979949951172,113.07499694824219,0.375,214.7899932861328,126.06700134277344,31.225000381469727,214.0,126.0,44.0,4.942,1.7329
8,55.84700012207031,81.9729995727539,168.64999389648438,73.03900146484375,82.01499938964844,164.5970001220703,80.0,91.0,166.0,4.5074,2.9974
9,213.4080047607422,72.5469970703125,81.52200317382812,198.59800720214844,87.53900146484375,101.55500030517578,193.0,90.0,99.0,5.693,1.5267
10,82.44599914550781,45.18199920654297,92.64099884033203,92.61499786376953,72.2249984741211,112.3219985961914,94.0,60.0,108.0,4.5726,4.5453
11,176.7790069580078,204.5780029296875,1.4670000076293945,164.78599548339844,192.84500122070312,46.98099899291992,157.0,188.0,64.0,6.9868,2.8407
12,236.74000549316406,158.41400146484375,2.4709999561309814,223.8070068359375,165.33399963378906,52.25400161743164,224.0,163.0,46.0,3.9537,0.8167
13,11.269000053405762,44.41899871826172,129.1999969482422,50.233001708984375,57.52000045776367,128.95399475097656,56.0,61.0,150.0,6.4689,3.5373
14,66.4209976196289,138.39999389648438,37.94300079345703,65.44999694824219,131.50999450683594,71.66200256347656,70.0,148.0,73.0,5.8431,6.15
15,176.35400390625,32.05799865722656,33.9739990234375,162.36099243164062,51.73400115966797,58.16299819946289,175.0,54.0,60.0,5.817,2.7414
16,235.9320068359375,193.0709991455078,0.9440000057220459,223.0590057373047,192.43800354003906,50.3489990234375,231.0,199.0,31.0,2.9788,2.3811
17,190.59800720214844,69.08000183105469,128.51600646972656,179.8040008544922,78.82499694824219,141.8470001220703,187.0,86.0,149.0,5.2937,2.6376
18,18.75,120.93499755859375,141.4010009765625,28.284000396728516,112.20899963378906,135.51100158691406,8.0,133.0,161.0,5.066,7.6733
19,233.05299377441406,227.6820068359375,211.49600219726562,229.05299377441406,227.68899536132812,226.35800170898438,240.04299926757812,240.04299926757812,239.10000610351562,7.2693,2.677
20,202.85899353027344,200.46499633789062,180.552001953125,200.85899353027344,202.48599243164062,196.79200744628906,199.5,199.5,199.5,8.8033,3.3422
21,156.95799255371094,152.69000244140625,134.50900268554688,158.0709991455078,159.0050048828125,154.42300415039062,161.78599548339844,161.78599548339844,161.78599548339844,8.94,2.9034
22,105.6969985961914,100.5479965209961,82.12799835205078,112.86799621582031,114.64199829101562,110.63700103759766,125.95700073242188,125.95700073242188,125.01399993896484,13.1594,5.2321
23,60.02799987792969,56.02799987792969,45.595001220703125,77.73200225830078,82.3499984741211,86.04900360107422,91.07099914550781,91.07099914550781,91.07099914550781,13.3328,4.453
24,19.708999633789062,18.28499984741211,12.616000175476074,56.895999908447266,65.25700378417969,73.1760025024414,59.957000732421875,59.957000732421875,59.957000732421875,13.3592,5.7003
