patch_index,captured_R,captured_G,captured_B,corrected_R,corrected_G,corrected_B,reference_R,reference_G,reference_B,deltaE_before,deltaE_after
1,66.9489974975586,41.94900131225586,36.94900131225586,107.6969985961914,84.64800262451172,73.64099884033203,115.0,82.0,68.0,14.3593,3.7596
2,159.03799438476562,125.0250015258789,116.24500274658203,196.03799438476562,147.02499389648438,123.49299621582031,194.0,150.0,130.0,10.0712,1.6979
3,59.35200119018555,91.31900024414062,142.47799682617188,89.93399810791016,113.28299713134766,151.44500732421875,98.0,122.0,157.0,11.8343,3.4421
4,54.448001861572266,70.4469985961914,33.448001861572266,90.95999908447266,103.33100128173828,70.86299896240234,87.0,108.0,67.0,12.7151,3.5438
5,93.90499877929688,101.90499877929688,166.61000061035156,124.83699798583984,120.90499877929688,175.01400756835938,133.0,128.0,177.0,12.0582,2.92
6,100.07599639892578,174.93499755859375,170.00799560546875,98.48699951171875,190.93499755859375,167.16700744628906,103.0,189.0,170.0,6.3493,1.6806
7,171.75599670410156,89.70999908447266,25.052000045776367,214.31100463867188,121.68299865722656,48.47800064086914,214.0,126.0,44.0,13.9017,2.4179
8,26.667999267578125,58.66699981689453,159.9149932861328,73.88200378417969,88.5770034790039,170.91400146484375,80.0,91.0,166.0,10.9626,1.5698
9,147.24400329589844,54.23899841308594,75.24199676513672,193.2429962158203,87.51200103759766,94.13099670410156,193.0,90.0,99.0,14.1476,1.2809
10,43.5620002746582,18.645999908447266,76.63999938964844,93.01799774169922,73.30500030517578,101.75800323486328,94.0,60.0,108.0,13.787,6.7796
11,134.86099243164062,160.26600646972656,42.41999816894531,153.0399932861328,186.26600646972656,63.11399841308594,157.0,188.0,64.0,7.9427,0.769
12,185.31399536132812,128.343994140625,21.378000259399414,223.31399536132812,158.343994140625,41.084999084472656,224.0,163.0,46.0,10.979,1.5419
13,0.8479999899864197,25.55699920654297,125.50800323486328,70.22899627685547,75.74700164794922,141.14199829101562,56.0,61.0,150.0,10.3327,5.524
14,59.58000183105469,114.54499816894531,49.52799987792969,81.31700134277344,139.3560028076172,74.02300262451172,70.0,148.0,73.0,12.1368,3.5123
15,121.21700286865234,23.89299964904785,32.979000091552734,165.95599365234375,74.22899627685547,67.26399993896484,175.0,54.0,60.0,12.4953,4.7471
16,198.85899353027344,171.85400390625,22.851999282836914,230.85899353027344,201.85400390625,36.19499969482422,231.0,199.0,31.0,7.5257,0.9681
17,141.0760040283203,57.529998779296875,134.3699951171875,189.0760040283203,83.77799987792969,149.56300354003906,187.0,86.0,149.0,13.1211,0.5657
18,31.836999893188477,113.55699920654297,158.32699584960938,48.198001861572266,131.3509979248047,161.52499389648438,8.0,133.0,161.0,10.149,2.8161
19,216.07200622558594,228.07200622558594,244.26199340820312,243.072998046875,243.07000732421875,239.28399658203125,243.0,243.0,242.0,8.9087,1.441
20,175.35800170898438,187.66900634765625,208.09300231933594,200.8159942626953,202.66900634765625,206.8780059814453,200.0,200.0,200.0,9.8637,2.2988
21,128.76800537109375,140.73300170898438,156.75100708007812,154.75799560546875,158.73300170898438,160.7169952392578,160.0,160.0,160.0,10.55,2.1611
22,85.47000122070312,91.69100189208984,103.30899810791016,116.85900115966797,116.69999694824219,116.29499816894531,122.0,122.0,121.0,13.6845,2.111
23,44.54399871826172,48.54399871826172,57.54399871826172,88.31400299072266,87.5199966430664,85.31400299072266,85.0,85.0,85.0,13.3711,1.6307
24,4.827000141143799,7.4710001945495605,12.470999717712402,74.18800354003906,73.24700164794922,67.75700378417969,52.0,52.0,52.0,12.7399,7.6983
