patch_index,captured_R,captured_G,captured_B,corrected_R,corrected_G,corrected_B,reference_R,reference_G,reference_B,deltaE_before,deltaE_after
1,109.13899993896484,68.26100158691406,45.28799819946289,111.13899993896484,80.26100158691406,66.28800201416016,115.0,82.0,68.0,5.8914,1.1017
2,219.9080047607422,153.7989959716797,116.06500244140625,215.9080047607422,159.26300048828125,130.06500244140625,194.0,150.0,130.0,7.0263,5.1182
3,98.11199951171875,126.81700134277344,158.88099670410156,102.11199951171875,127.8010025024414,160.88099670410156,98.0,122.0,157.0,2.6077,2.3213
4,87.78700256347656,106.37300109863281,42.986000061035156,91.73400115966797,110.41600036621094,63.965999603271484,87.0,108.0,67.0,5.7403,1.9983
5,141.63600158691406,140.79800415039062,194.78799438476562,143.55099487304688,140.81100463867188,196.01400756835938,133.0,128.0,177.0,4.7244,4.8142
6,113.73500061035156,214.52200317382812,187.1179962158203,110.44000244140625,206.52200317382812,185.13400268554688,103.0,189.0,170.0,6.6759,4.4814
7,229.38800048828125,113.28399658203125,0.3529999852180481,221.69700622558594,119.28399658203125,16.257999420166016,214.0,126.0,44.0,4.8972,2.7778
8,55.89400100708008,81.98600006103516,168.7899932861328,64.88500213623047,81.98600006103516,166.74400329589844,80.0,91.0,166.0,4.5019,3.5392
9,213.6820068359375,72.63700103759766,81.66100311279297,205.6820068359375,79.63700103759766,91.63700103759766,193.0,90.0,99.0,5.7023,3.1373
10,82.47899627685547,45.332000732421875,92.79499816894531,87.47699737548828,58.387001037597656,102.23500061035156,94.0,60.0,108.0,4.531,1.7246
11,177.0590057373047,204.76300048828125,1.7289999723434448,170.79100036621094,198.64300537109375,24.208999633789062,157.0,188.0,64.0,7.0299,5.2484
12,236.73399353027344,158.5850067138672,2.4600000381469727,229.73800659179688,161.60800170898438,27.22599983215332,224.0,163.0,46.0,3.9162,1.8015
13,11.274999618530273,44.52000045776367,129.51499938964844,30.687000274658203,50.88100051879883,129.20199584960938,56.0,61.0,150.0,6.4323,4.8735
14,66.72000122070312,138.71299743652344,38.426998138427734,65.72000122070312,134.7220001220703,54.69499969482422,70.0,148.0,73.0,5.7527,5.0213
15,176.6529998779297,32.15599822998047,33.88199996948242,169.4080047607422,41.69599914550781,45.430999755859375,175.0,54.0,60.0,5.8446,3.4919
16,236.343994140625,193.19900512695312,0.8849999904632568,229.36000061035156,192.33399963378906,25.30299949645996,231.0,199.0,31.0,3.0299,1.9884
17,191.23199462890625,69.69499969482422,129.4080047607422,185.25399780273438,74.02899932861328,135.53500366210938,187.0,86.0,149.0,5.1069,3.5897
18,18.775999069213867,121.0510025024414,141.5050048828125,23.93199920654297,116.48699951171875,138.3040008544922,8.0,133.0,161.0,5.0322,6.2889
19,233.41700744628906,228.22000122070312,212.2030029296875,231.4149932861328,228.05299377441406,219.18800354003906,240.04299926757812,240.04299926757812,239.10000610351562,7.1635,4.5933
20,203.25100708007812,201.1320037841797,181.2740020751953,201.42799377441406,201.47000122070312,189.1280059814453,199.5,199.5,199.5,8.7959,6.0463
21,157.60499572753906,153.4290008544922,135.63999938964844,157.60499572753906,156.07200622558594,144.9510040283203,161.78599548339844,161.78599548339844,161.78599548339844,8.7196,5.9226
22,105.96299743652344,100.78199768066406,82.48899841308594,109.01699829101562,107.47799682617188,96.27400207519531,125.95700073242188,125.95700073242188,125.01399993896484,13.0553,9.242
23,60.08000183105469,56.08000183105469,45.766998291015625,68.37999725341797,68.97100067138672,65.45999908447266,91.07099914550781,91.07099914550781,91.07099914550781,13.2891,8.1297
24,19.523000717163086,18.194000244140625,12.526000022888184,37.70600128173828,41.52000045776367,42.48899841308594,59.957000732421875,59.957000732421875,59.957000732421875,13.3836,6.5822
