patch_index,captured_R,captured_G,captured_B,corrected_R,corrected_G,corrected_B,reference_R,reference_G,reference_B,deltaE_before,deltaE_after
1,109.1520004272461,68.21099853515625,45.071998596191406,113.22699737548828,91.9209976196289,86.59300231933594,115.0,82.0,68.0,5.9417,6.0896
2,219.4929962158203,153.4969940185547,116.18000030517578,212.4250030517578,164.54600524902344,144.06300354003906,194.0,150.0,130.0,6.9123,4.6092
3,98.02100372314453,126.8219985961914,158.80999755859375,107.02100372314453,128.68800354003906,163.8000030517578,98.0,122.0,157.0,2.6435,2.8352
4,87.76499938964844,106.38099670410156,42.89899826049805,94.99400329589844,114.73600006103516,84.25199890136719,87.0,108.0,67.0,5.7561,4.3259
5,141.62100219726562,140.78500366210938,194.79299926757812,145.52200317382812,141.79200744628906,197.81700134277344,133.0,128.0,177.0,4.7224,5.2055
6,113.74099731445312,214.48699951171875,187.18299865722656,107.45500183105469,198.98500061035156,183.83099365234375,103.0,189.0,170.0,6.6599,3.087
7,229.32000732421875,113.21900177001953,0.34200000762939453,214.71200561523438,126.21299743652344,33.165000915527344,214.0,126.0,44.0,4.902,1.5418
8,55.8650016784668,81.93000030517578,168.60400390625,73.86599731445312,82.0999984741211,164.625,80.0,91.0,166.0,4.5104,2.959
9,213.6840057373047,72.66000366210938,81.6780014038086,198.6840057373047,87.05899810791016,101.65899658203125,193.0,90.0,99.0,5.7,1.6483
10,82.5009994506836,45.349998474121094,92.8280029296875,92.00700378417969,71.5979995727539,112.2020034790039,94.0,60.0,108.0,4.5245,4.3866
11,177.125,204.79200744628906,1.7879999876022339,164.81399536132812,192.75,47.31399917602539,157.0,188.0,64.0,7.0386,2.8137
12,236.8000030517578,158.64599609375,2.5329999923706055,223.8040008544922,165.4340057373047,52.75299835205078,224.0,163.0,46.0,3.916,0.8557
13,11.045999526977539,44.584999084472656,129.5050048828125,50.35900115966797,57.88399887084961,129.2899932861328,56.0,61.0,150.0,6.4325,3.4842
14,66.86399841308594,138.8300018310547,38.79899978637695,64.9020004272461,131.86000061035156,71.31600189208984,70.0,148.0,73.0,5.6992,6.0021
15,176.91200256347656,32.25899887084961,34.00899887084961,162.406005859375,52.305999755859375,58.016998291015625,175.0,54.0,60.0,5.8218,2.6558
16,236.5570068359375,193.41299438476562,0.8970000147819519,223.55799865722656,192.49099731445312,50.17100143432617,231.0,199.0,31.0,3.0117,2.3393
17,191.7239990234375,69.9729995727539,129.8459930419922,180.57899475097656,79.25,142.25900268554688,187.0,86.0,149.0,5.0263,2.4329
18,18.281999588012695,121.73799896240234,142.55999755859375,28.68899917602539,112.83100128173828,136.4340057373047,8.0,133.0,161.0,4.7537,7.4441
19,233.53500366210938,228.5260009765625,212.94700622558594,229.01699829101562,227.9409942626953,226.5970001220703,240.04299926757812,240.04299926757812,239.10000610351562,6.9828,2.6048
20,203.58399963378906,201.71200561523438,181.88499450683594,200.5919952392578,202.72900390625,197.00900268554688,199.5,199.5,199.5,8.7989,3.4771
21,158.5540008544922,154.6699981689453,137.37600708007812,159.2239990234375,160.12899780273438,155.88600158691406,161.78599548339844,161.78599548339844,161.78599548339844,8.4212,2.6213
22,106.80999755859375,101.53600311279297,83.73799896240234,113.33899688720703,114.89399719238281,111.06999969482422,125.95700073242188,125.95700073242188,125.01399993896484,12.6966,5.0484
23,60.34400177001953,56.34400177001953,45.81800079345703,77.18499755859375,81.93599700927734,85.177001953125,91.07099914550781,91.07099914550781,91.07099914550781,13.2631,4.5285
24,20.13800048828125,18.53499984741211,12.859000205993652,56.33100128173828,64.48799896240234,72.46199798583984,59.957000732421875,59.957000732421875,59.957000732421875,13.2976,5.6245
