patch_index,captured_R,captured_G,captured_B,corrected_R,corrected_G,corrected_B,reference_R,reference_G,reference_B,deltaE_before,deltaE_after
1,114.15599822998047,73.21199798583984,54.07899856567383,113.51499938964844,92.27300262451172,87.43199920654297,115.0,82.0,68.0,3.914,6.3095
2,228.80999755859375,163.62600708007812,137.1219940185547,212.4759979248047,164.73599243164062,144.19000244140625,194.0,150.0,130.0,7.2432,4.6417
3,102.03500366210938,135.8459930419922,187.0500030517578,106.23799896240234,128.97999572753906,163.97000122070312,98.0,122.0,157.0,6.3356,2.801
4,91.81099700927734,113.38600158691406,52.07600021362305,95.05599975585938,115.37699890136719,85.08999633789062,87.0,108.0,67.0,5.1993,4.5306
5,147.656005859375,149.71499633789062,228.48300170898438,145.55799865722656,141.125,197.75799560546875,133.0,128.0,177.0,10.4413,5.0785
6,118.8759994506836,228.33900451660156,219.98399353027344,106.72699737548828,199.1230010986328,183.94500732421875,103.0,189.0,170.0,10.6772,3.1176
7,239.40499877929688,121.15499877929688,0.3400000035762787,215.35800170898438,126.18000030517578,32.849998474121094,214.0,126.0,44.0,5.2948,1.5174
8,57.85900115966797,87.98600006103516,198.69400024414062,73.8550033569336,82.0739974975586,164.7689971923828,80.0,91.0,166.0,5.6278,2.9697
9,222.625,77.63300323486328,96.83399963378906,198.63800048828125,87.41799926757812,101.63700103759766,193.0,90.0,99.0,5.4982,1.5703
10,86.33200073242188,48.185001373291016,109.78700256347656,92.51799774169922,71.51699829101562,112.21600341796875,94.0,60.0,108.0,4.4349,4.276
11,184.60699462890625,218.36399841308594,1.7020000219345093,164.6490020751953,193.05799865722656,47.25,157.0,188.0,64.0,9.4639,2.8216
12,246.63900756835938,168.90899658203125,2.9000000953674316,223.6439971923828,165.14599609375,52.2869987487793,224.0,163.0,46.0,4.6976,0.7853
13,12.192000389099121,47.55500030517578,152.69900512695312,51.08000183105469,57.76499938964844,129.37399291992188,56.0,61.0,150.0,5.0478,3.4519
14,69.72899627685547,147.7239990234375,46.59199905395508,65.41799926757812,131.7239990234375,71.5469970703125,70.0,148.0,73.0,4.3655,6.0586
15,184.64999389648438,34.439998626708984,41.402000427246094,162.63699340820312,51.797000885009766,57.957000732421875,175.0,54.0,60.0,4.5308,2.6596
16,246.19700622558594,206.31199645996094,0.9599999785423279,223.2429962158203,192.47999572753906,50.42300033569336,231.0,199.0,31.0,3.0263,2.3685
17,199.03900146484375,74.43299865722656,152.19200134277344,180.06700134277344,79.13800048828125,142.1750030517578,187.0,86.0,149.0,2.7542,2.5292
18,19.85700035095215,129.1320037841797,166.51400756835938,29.232999801635742,112.43099975585938,135.53399658203125,8.0,133.0,161.0,3.9075,7.6018
19,243.5500030517578,243.32400512695312,249.39599609375,229.36500549316406,228.14999389648438,226.50599670410156,240.04299926757812,240.04299926757812,239.10000610351562,3.7648,2.581
20,212.57200622558594,214.30299377441406,213.2740020751953,201.07400512695312,202.49899291992188,197.0780029296875,199.5,199.5,199.5,3.6502,3.1736
21,165.03599548339844,164.33200073242188,160.63999938964844,158.76300048828125,159.80499267578125,155.32200622558594,161.78599548339844,161.78599548339844,161.78599548339844,2.1392,2.8002
22,111.08000183105469,108.17500305175781,98.73799896240234,113.00299835205078,114.73500061035156,110.80400085449219,125.95700073242188,125.95700073242188,125.01399993896484,8.4047,5.171
23,63.23400115966797,60.24100112915039,55.04499816894531,77.4990005493164,82.26899719238281,85.51599884033203,91.07099914550781,91.07099914550781,91.07099914550781,10.9608,4.4458
24,21.007999420166016,20.18600082397461,16.80299949645996,56.29999923706055,65.26599884033203,72.97699737548828,59.957000732421875,59.957000732421875,59.957000732421875,12.7107,5.7743
