patch_index,captured_R,captured_G,captured_B,corrected_R,corrected_G,corrected_B,reference_R,reference_G,reference_B,deltaE_before,deltaE_after
1,97.99400329589844,68.29399871826172,51.95600128173828,112.99400329589844,91.2959976196289,86.3239974975586,115.0,82.0,68.0,5.3727,6.0216
2,199.0279998779297,155.0290069580078,131.19200134277344,213.0279998779297,165.0290069580078,143.37899780273438,194.0,150.0,130.0,2.1075,4.7324
3,87.83599853515625,127.06300354003906,179.0540008544922,106.83599853515625,128.343994140625,163.67999267578125,98.0,122.0,157.0,4.6247,2.7491
4,78.08599853515625,106.56900024414062,49.25899887084961,94.25399780273438,114.56800079345703,83.44100189208984,87.0,108.0,67.0,4.2964,4.0993
5,127.6520004272461,140.6750030517578,218.69500732421875,145.65199279785156,141.09300231933594,197.70199584960938,133.0,128.0,177.0,9.5583,5.0686
6,101.58100128173828,215.51699829101562,210.72900390625,107.33100128173828,199.16299438476562,184.0030059814453,103.0,189.0,170.0,8.8618,3.1274
7,207.34100341796875,113.447998046875,0.38100001215934753,214.70599365234375,125.44999694824219,33.755001068115234,214.0,126.0,44.0,4.1224,1.277
8,49.0,82.00700378417969,189.91000366210938,74.0,83.0530014038086,164.92300415039062,80.0,91.0,166.0,5.8842,2.6568
9,192.7949981689453,72.89700317382812,92.88300323486328,198.7949981689453,86.90699768066406,101.6709976196289,193.0,90.0,99.0,4.2968,1.6885
10,73.64199829101562,45.25699996948242,105.01000213623047,91.73200225830078,71.41100311279297,111.56900024414062,94.0,60.0,108.0,6.3089,4.3885
11,159.7239990234375,205.95199584960938,2.4779999256134033,164.7790069580078,192.89500427246094,47.34199905395508,157.0,188.0,64.0,6.2161,2.8182
12,214.16600036621094,160.08900451660156,2.993000030517578,224.16600036621094,165.67799377441406,52.57400131225586,224.0,163.0,46.0,3.6867,0.8777
13,8.185999870300293,44.5890007019043,146.0449981689453,50.569000244140625,58.834999084472656,129.21499633789062,56.0,61.0,150.0,5.7151,3.5293
14,59.17900085449219,139.1529998779297,45.0620002746582,65.18900299072266,131.2570037841797,70.81999969482422,70.0,148.0,73.0,4.8428,6.1965
15,159.85000610351562,32.79800033569336,39.4640007019043,162.80999755859375,53.07400131225586,58.13399887084961,175.0,54.0,60.0,5.5887,2.5043
16,213.58399963378906,194.84100341796875,1.0770000219345093,223.5279998779297,192.51499938964844,50.27199935913086,231.0,199.0,31.0,3.7355,2.3413
17,173.02699279785156,69.75599670410156,146.23800659179688,180.12600708007812,79.08999633789062,142.2100067138672,187.0,86.0,149.0,5.7273,2.5279
18,14.371000289916992,123.14600372314453,162.6490020751953,28.540000915527344,113.62300109863281,137.70799255371094,8.0,133.0,161.0,5.7445,7.1502
19,210.95599365234375,229.78399658203125,239.9199981689453,228.95599365234375,227.77499389648438,226.57699584960938,240.04299926757812,240.04299926757812,239.10000610351562,8.5401,2.6437
20,183.95700073242188,203.0590057373047,205.18899536132812,200.95700073242188,202.91099548339844,197.24600219726562,199.5,199.5,199.5,7.8909,3.417
21,143.37899780273438,156.718994140625,156.46299743652344,159.37899780273438,160.88999938964844,156.62399291992188,161.78599548339844,161.78599548339844,161.78599548339844,6.7382,2.7315
22,96.35900115966797,102.3030014038086,96.43599700927734,113.37999725341797,114.64600372314453,111.34700012207031,125.95700073242188,125.95700073242188,125.01399993896484,11.0224,4.9648
23,53.64099884033203,56.64099884033203,52.465999603271484,76.82599639892578,81.56199645996094,84.51699829101562,91.07099914550781,91.07099914550781,91.07099914550781,12.5259,4.5902
24,17.086000442504883,18.833999633789062,15.979000091552734,55.4739990234375,64.37999725341797,71.99099731445312,59.957000732421875,59.957000732421875,59.957000732421875,13.208,5.6758
