patch_index,captured_R,captured_G,captured_B,corrected_R,corrected_G,corrected_B,reference_R,reference_G,reference_B,deltaE_before,deltaE_after
1,114.01899719238281,73.31099700927734,54.875,111.01899719238281,79.97699737548828,66.23500061035156,115.0,82.0,68.0,3.7516,1.102
2,230.2469940185547,165.16099548339844,138.3159942626953,216.2469940185547,159.9550018310547,130.33599853515625,194.0,150.0,130.0,7.5365,5.2582
3,103.10199737548828,136.3260040283203,188.25900268554688,102.34200286865234,128.11599731445312,161.302001953125,98.0,122.0,157.0,6.537,2.4276
4,92.18900299072266,114.73400115966797,52.53799819946289,91.4020004272461,110.86000061035156,64.14600372314453,87.0,108.0,67.0,5.46,2.0009
5,148.26499938964844,150.49600219726562,229.156005859375,143.8679962158203,140.7209930419922,195.7270050048828,133.0,128.0,177.0,10.6121,4.7643
6,118.73200225830078,229.3560028076172,221.78399658203125,109.875,206.4040069580078,185.67999267578125,103.0,189.0,170.0,11.0094,4.4455
7,239.46299743652344,121.47599792480469,0.5929999947547913,221.4669952392578,119.47100067138672,15.687999725341797,214.0,126.0,44.0,5.2804,2.7413
8,58.933998107910156,88.0469970703125,199.86199951171875,64.95099639892578,82.04399871826172,166.9040069580078,80.0,91.0,166.0,5.6863,3.5242
9,223.656005859375,78.08899688720703,97.8239974975586,206.29800415039062,79.81500244140625,91.8239974975586,193.0,90.0,99.0,5.6501,3.1891
10,86.25199890136719,49.0880012512207,110.49500274658203,87.28099822998047,58.38399887084961,102.35099792480469,94.0,60.0,108.0,4.3255,1.746
11,184.73300170898438,218.9510040283203,2.5820000171661377,170.74099731445312,198.60499572753906,24.71299934387207,157.0,188.0,64.0,9.5524,5.2208
12,247.90199279785156,170.0189971923828,3.502000093460083,230.02099609375,161.9409942626953,27.12700080871582,224.0,163.0,46.0,4.9013,1.8097
13,12.508999824523926,47.98400115966797,153.56300354003906,30.976999282836914,50.707000732421875,129.18299865722656,56.0,61.0,150.0,4.972,4.8672
14,69.62899780273438,148.62899780273438,46.74800109863281,65.74600219726562,134.74600219726562,54.459999084472656,70.0,148.0,73.0,4.4029,5.0303
15,184.6479949951172,35.38100051879883,41.93899917602539,169.43499755859375,42.20899963378906,45.98899841308594,175.0,54.0,60.0,4.4406,3.3721
16,246.58299255371094,207.12899780273438,1.1180000305175781,228.9290008544922,192.447998046875,25.36400032043457,231.0,199.0,31.0,3.1009,1.889
17,198.65199279785156,73.7239990234375,151.06500244140625,184.1479949951172,73.35900115966797,133.94200134277344,187.0,86.0,149.0,2.776,3.9426
18,19.5310001373291,130.302001953125,168.4510040283203,23.174999237060547,116.68000030517578,138.6320037841797,8.0,133.0,161.0,3.9774,6.2146
19,243.91000366210938,243.6540069580078,249.6909942626953,230.96600341796875,227.6540069580078,218.71200561523438,240.04299926757812,240.04299926757812,239.10000610351562,3.7668,4.6688
20,212.1219940185547,214.4770050048828,213.4550018310547,201.2030029296875,201.0850067138672,188.7779998779297,199.5,199.5,199.5,3.7575,6.0131
21,164.14700317382812,163.78199768066406,159.60699462890625,157.14999389648438,155.67599487304688,144.19900512695312,161.78599548339844,161.78599548339844,161.78599548339844,2.3525,6.1224
22,110.89299774169922,107.87200164794922,98.49400329589844,108.94599914550781,107.26899719238281,96.23999786376953,125.95700073242188,125.95700073242188,125.01399993896484,8.4853,9.2457
23,63.12699890136719,60.12699890136719,55.35900115966797,68.78199768066406,68.78199768066406,65.3030014038086,91.07099914550781,91.07099914550781,91.07099914550781,10.923,8.1104
24,21.00200080871582,20.448999404907227,16.76799964904785,38.255001068115234,41.698001861572266,42.64699935913086,59.957000732421875,59.957000732421875,59.957000732421875,12.6947,6.4341
