patch_index,captured_R,captured_G,captured_B,corrected_R,corrected_G,corrected_B,reference_R,reference_G,reference_B,deltaE_before,deltaE_after
1,66.9729995727539,41.972999572753906,36.972999572753906,110.03399658203125,87.73899841308594,76.9990005493164,115.0,82.0,68.0,14.3522,4.2653
2,159.04800415039062,125.01499938964844,116.11399841308594,196.04800415039062,146.65699768066406,123.41200256347656,194.0,150.0,130.0,10.0516,1.7363
3,59.284000396728516,91.24099731445312,142.63499450683594,91.41400146484375,114.10700225830078,151.66900634765625,98.0,122.0,157.0,11.8583,3.1133
4,54.41600036621094,70.41200256347656,33.41600036621094,93.96099853515625,105.5510025024414,74.10600280761719,87.0,108.0,67.0,12.7263,3.8438
5,93.77100372314453,101.77100372314453,166.6439971923828,125.16300201416016,120.18499755859375,174.64100646972656,133.0,128.0,177.0,12.1104,3.0609
6,100.10199737548828,175.04100036621094,170.14999389648438,97.46299743652344,190.04100036621094,166.49899291992188,103.0,189.0,170.0,6.3444,1.6082
7,171.67799377441406,89.7760009765625,25.089000701904297,214.677001953125,122.0479965209961,49.691001892089844,214.0,126.0,44.0,13.8926,2.5097
8,26.69499969482422,58.694000244140625,159.85299682617188,75.572998046875,89.09600067138672,170.8459930419922,80.0,91.0,166.0,10.9562,1.3049
9,147.13499450683594,54.12900161743164,75.13300323486328,193.156005859375,87.40599822998047,94.08699798583984,193.0,90.0,99.0,14.1788,1.2836
10,43.709999084472656,18.84000015258789,76.81500244140625,95.78500366210938,76.26300048828125,103.83499908447266,94.0,60.0,108.0,13.7416,7.49
11,134.947998046875,160.17799377441406,42.36000061035156,152.9709930419922,186.17799377441406,64.10900115966797,157.0,188.0,64.0,7.9651,0.833
12,185.1300048828125,128.16099548339844,21.231000900268555,223.1300048828125,158.1790008544922,42.042999267578125,224.0,163.0,46.0,11.0414,1.6146
13,0.9509999752044678,25.68899917602539,125.53600311279297,73.24299621582031,77.98999786376953,141.53700256347656,56.0,61.0,150.0,10.3037,6.2977
14,59.707000732421875,114.65699768066406,49.58100128173828,83.62000274658203,140.58399963378906,76.197998046875,70.0,148.0,73.0,12.0961,3.3962
15,121.2760009765625,23.81599998474121,32.95100021362305,166.3419952392578,75.80799865722656,68.93800354003906,175.0,54.0,60.0,12.4899,5.0332
16,198.8470001220703,171.83200073242188,22.85300064086914,229.86199951171875,201.50100708007812,34.729000091552734,231.0,199.0,31.0,7.5312,1.0479
17,141.04600524902344,57.58100128173828,134.32699584960938,188.77000427246094,82.17900085449219,148.89300537109375,187.0,86.0,149.0,13.1172,0.8516
18,31.764999389648438,113.58300018310547,158.1529998779297,50.183998107910156,131.51800537109375,161.16600036621094,8.0,133.0,161.0,10.096,2.8438
19,216.24000549316406,228.23800659179688,244.2519989013672,241.24000549316406,240.23800659179688,236.25999450683594,240.04299926757812,240.04299926757812,239.10000610351562,8.6,1.5201
20,175.28900146484375,187.90499877929688,208.06300354003906,199.28900146484375,200.90499877929688,205.05799865722656,199.5,199.5,199.5,9.7511,2.1988
21,129.08299255371094,140.8699951171875,156.9409942626953,155.0469970703125,157.88600158691406,160.63900756835938,161.78599548339844,161.78599548339844,161.78599548339844,10.8565,2.2702
22,85.5469970703125,91.87699890136719,103.21800231933594,118.51599884033203,117.86499786376953,117.375,125.95700073242188,125.95700073242188,125.01399993896484,14.9959,3.1614
23,44.680999755859375,48.69900131225586,57.64400100708008,91.58799743652344,90.11699676513672,88.06700134277344,91.07099914550781,91.07099914550781,91.07099914550781,15.2835,1.396
24,5.007999897003174,7.61299991607666,12.61299991607666,79.00199890136719,77.25900268554688,71.94000244140625,59.957000732421875,59.957000732421875,59.957000732421875,15.2405,6.6166
