patch_index,captured_R,captured_G,captured_B,corrected_R,corrected_G,corrected_B,reference_R,reference_G,reference_B,deltaE_before,deltaE_after
1,67.01300048828125,42.01300048828125,37.01300048828125,110.0719985961914,88.25,77.0,115.0,82.0,68.0,14.3406,4.5024
2,159.02999877929688,124.93299865722656,116.21900177001953,195.12600708007812,146.94000244140625,123.28299713134766,194.0,150.0,130.0,10.1012,1.6562
3,59.323001861572266,91.26300048828125,142.69900512695312,91.43499755859375,113.802001953125,151.88299560546875,98.0,122.0,157.0,11.8499,3.2565
4,54.39500045776367,70.39199829101562,33.39799880981445,94.4469985961914,105.53800201416016,74.0999984741211,87.0,108.0,67.0,12.7328,3.9718
5,93.78800201416016,101.78800201416016,166.70799255371094,124.802001953125,120.19300079345703,174.66000366210938,133.0,128.0,177.0,12.1058,3.1018
6,100.12000274658203,175.0679931640625,170.18699645996094,100.13800048828125,189.89500427246094,168.01400756835938,103.0,189.0,170.0,6.3434,1.0214
7,171.64500427246094,89.80699920654297,25.091999053955078,214.6020050048828,122.86000061035156,50.763999938964844,214.0,126.0,44.0,13.8875,2.3624
8,26.76799964904785,58.766998291015625,159.88600158691406,75.04000091552734,88.5989990234375,170.8260040283203,80.0,91.0,166.0,10.9366,1.4294
9,147.18600463867188,54.167999267578125,75.19999694824219,193.2220001220703,88.43499755859375,94.80000305175781,193.0,90.0,99.0,14.1677,1.1667
10,43.69300079345703,18.847999572753906,76.7770004272461,95.77200317382812,76.64399719238281,103.5250015258789,94.0,60.0,108.0,13.742,7.7541
11,134.93800354003906,160.18099975585938,42.37099838256836,154.8509979248047,186.08700561523438,64.25800323486328,157.0,188.0,64.0,7.9647,0.5933
12,185.1199951171875,128.15199279785156,21.218000411987305,223.1199951171875,158.7449951171875,42.055999755859375,224.0,163.0,46.0,11.0444,1.3916
13,0.9539999961853027,25.670000076293945,125.51899719238281,72.88600158691406,77.05599975585938,141.50100708007812,56.0,61.0,150.0,10.3081,6.0148
14,59.73699951171875,114.68099975585938,49.62200164794922,85.66400146484375,139.74400329589844,77.197998046875,70.0,148.0,73.0,12.087,3.9058
15,121.34200286865234,23.81999969482422,32.974998474121094,166.51800537109375,76.56900024414062,70.2249984741211,175.0,54.0,60.0,12.4779,5.1337
16,198.8489990234375,171.84100341796875,22.83300018310547,230.8470001220703,200.8560028076172,33.130001068115234,231.0,199.0,31.0,7.5291,0.6426
17,141.0229949951172,57.577999114990234,134.30999755859375,188.73699951171875,82.67500305175781,148.33799743652344,187.0,86.0,149.0,13.1211,0.7391
18,31.742000579833984,113.55999755859375,158.12399291992188,52.196998596191406,130.7899932861328,162.13699340820312,8.0,133.0,161.0,10.1005,3.5808
19,216.19000244140625,228.1929931640625,244.20799255371094,241.19000244140625,240.1929931640625,236.21600341796875,240.04299926757812,240.04299926757812,239.10000610351562,8.6041,1.5197
20,175.30999755859375,187.88999938964844,208.1540069580078,199.30999755859375,200.88999938964844,205.1529998779297,199.5,199.5,199.5,9.7793,2.2501
21,129.02499389648438,140.86700439453125,156.91900634765625,155.04600524902344,157.97999572753906,160.6320037841797,161.78599548339844,161.78599548339844,161.78599548339844,10.8602,2.2539
22,85.54499816894531,91.85399627685547,103.23799896240234,118.5199966430664,118.01599884033203,117.40399932861328,125.95700073242188,125.95700073242188,125.01399993896484,15.0089,3.0987
23,44.67900085449219,48.698001861572266,57.643001556396484,91.58899688720703,90.5999984741211,88.06300354003906,91.07099914550781,91.07099914550781,91.07099914550781,15.2843,1.5638
24,5.044000148773193,7.626999855041504,12.626999855041504,78.88300323486328,77.76799774169922,71.7760009765625,59.957000732421875,59.957000732421875,59.957000732421875,15.2375,6.9014
