bias_mode,channel_mode,k,base_shift_L,base_shift_a,base_shift_b,actual_shift_L,actual_shift_a,actual_shift_b,mean_deltaE,median_deltaE,max_deltaE,p95_deltaE,std_deltaE,classification_acc
global,L,0.0,2.513249979664882,0.0,0.0,0.0,0.0,0.0,2.7887809151844305,2.1265446662105925,5.676284206630864,5.260665570629254,1.5489518093968175,0.8333333333333334
leave_one_out,L,0.0,,,,0.0,0.0,0.0,2.7887809151844305,2.1265446662105925,5.676284206630864,5.260665570629254,1.5489518093968175,0.8333333333333334
global,L,0.25,2.513249979664882,0.0,0.0,0.6283124949162205,0.0,0.0,2.489322228742034,1.8315712927733108,5.254263548283777,4.788002294449264,1.4491049271910157,0.9166666666666666
leave_one_out,L,0.25,,,,0.6283124949162205,0.0,0.0,2.5018222376491113,1.8423574402624676,5.318211696518597,4.83795673365678,1.4658211063131636,0.9166666666666666
global,L,0.5,2.513249979664882,0.0,0.0,1.256624989832441,0.0,0.0,2.308064269469863,1.7961074800233283,4.846455207294698,4.4588446844337115,1.2961890230280504,0.9166666666666666
leave_one_out,L,0.5,,,,1.256624989832441,0.0,0.0,2.344410016700482,1.799174702228562,4.970051836572454,4.5230491322993265,1.319203236198389,0.9166666666666666
global,L,0.75,2.513249979664882,0.0,0.0,1.8849374847486615,0.0,0.0,2.2456526444272615,1.8089795087344127,4.4556294802271825,4.188230038126972,1.1223297334249915,0.9166666666666666
leave_one_out,L,0.75,,,,1.8849374847486617,0.0,0.0,2.3107964321905468,1.8933339174619408,4.633375433952947,4.278061592461492,1.1481315912038272,0.9166666666666666
global,L,1.0,2.513249979664882,0.0,0.0,2.513249979664882,0.0,0.0,2.2827536688147387,2.223494620114134,4.085452925232128,3.954392649883726,0.9825101599805682,0.9166666666666666
leave_one_out,L,1.0,,,,2.513249979664882,0.0,0.0,2.375044059564372,2.353978014781612,4.310173239225779,4.064228920194819,1.0128252263890247,0.9166666666666666
global,L,1.25,2.513249979664882,0.0,0.0,3.141562474581103,0.0,0.0,2.404416118910249,2.4950002694949447,3.7784945611174794,3.7577443915828384,0.9168343780752043,1.0
leave_one_out,L,1.25,,,,3.1415624745811033,0.0,0.0,2.5173173888989955,2.6169856151875113,4.002969127807146,3.884570652159448,0.959147663830267,0.9166666666666666
global,b,0.0,0.0,0.0,2.2132500036774823,0.0,0.0,0.0,2.7887809151844305,2.1265446662105925,5.676284206630864,5.260665570629254,1.5489518093968175,0.8333333333333334
leave_one_out,b,0.0,,,,0.0,0.0,0.0,2.7887809151844305,2.1265446662105925,5.676284206630864,5.260665570629254,1.5489518093968175,0.8333333333333334
global,b,0.25,0.0,0.0,2.2132500036774823,0.0,0.0,0.5533125009193706,2.5878169667961415,2.0513926180342237,5.51017137323816,5.0637798076772,1.5289601705306728,0.8333333333333334
leave_one_out,b,0.25,,,,0.0,0.0,0.5533125009193706,2.5913456888251853,2.0526091774007846,5.519162322487896,5.068357608984244,1.5336114727690437,0.8333333333333334
global,b,0.5,0.0,0.0,2.2132500036774823,0.0,0.0,1.1066250018387411,2.4659701878625486,2.0400977450730275,5.373881117471801,4.908765088764423,1.4755832868678644,0.9166666666666666
leave_one_out,b,0.5,,,,0.0,0.0,1.1066250018387411,2.477427784179142,2.044253878690442,5.388396058076549,4.916053918227125,1.4777839196743399,0.9166666666666666
global,b,0.75,0.0,0.0,2.2132500036774823,0.0,0.0,1.6599375027581118,2.425089255888492,2.069960761924489,5.268193034552509,4.801416236305723,1.4009323369147804,0.9166666666666666
leave_one_out,b,0.75,,,,0.0,0.0,1.6599375027581118,2.445201679413995,2.0784663176578118,5.284665746931439,4.809443529087018,1.3989037067214078,0.9166666666666666
global,b,1.0,0.0,0.0,2.2132500036774823,0.0,0.0,2.2132500036774823,2.4557010086539086,2.1389333104766513,5.193441443179488,4.74430478423521,1.3223449639019467,0.9166666666666666
leave_one_out,b,1.0,,,,0.0,0.0,2.2132500036774823,2.4831355611566823,2.1529117817960874,5.208308906184027,4.751106743325046,1.3165127101121012,0.9166666666666666
global,b,1.25,0.0,0.0,2.2132500036774823,0.0,0.0,2.7665625045968527,2.5475927038325867,2.2565313351274416,5.14946025543344,4.736587781233783,1.248724531854091,0.9166666666666666
leave_one_out,b,1.25,,,,0.0,0.0,2.766562504596853,2.579919881596654,2.349189354177385,5.159276073599152,4.740305826016433,1.2411023413934235,0.9166666666666666
global,Lb,0.0,2.513249979664882,0.0,2.2132500036774823,0.0,0.0,0.0,2.7887809151844305,2.1265446662105925,5.676284206630864,5.260665570629254,1.5489518093968175,0.8333333333333334
leave_one_out,Lb,0.0,,,,0.0,0.0,0.0,2.7887809151844305,2.1265446662105925,5.676284206630864,5.260665570629254,1.5489518093968175,0.8333333333333334
global,Lb,0.25,2.513249979664882,0.0,2.2132500036774823,0.6283124949162205,0.0,0.5533125009193706,2.266251569991939,1.6960172020688336,5.074354304030215,4.569853509578622,1.4208093559672743,1.0
leave_one_out,Lb,0.25,,,,0.6283124949162205,0.0,0.5533125009193706,2.283253165894307,1.7078894415808246,5.150177278163366,4.627005631632826,1.443948382946393,0.9166666666666666
global,Lb,0.5,2.513249979664882,0.0,2.2132500036774823,1.256624989832441,0.0,1.1066250018387411,1.9158221989149304,1.398784059617981,4.488487935439604,3.898677049987328,1.1910903663226668,1.0
leave_one_out,Lb,0.5,,,,1.256624989832441,0.0,1.1066250018387411,1.9688497185521072,1.429428599281933,4.638536939862087,4.012643509058941,1.2268371240304843,1.0
global,Lb,0.75,2.513249979664882,0.0,2.2132500036774823,1.8849374847486615,0.0,1.6599375027581118,1.7711439638553717,1.530049457384957,3.9225361081741688,3.260466233886678,0.9125499987180806,1.0
leave_one_out,Lb,0.75,,,,1.8849374847486617,0.0,1.6599375027581118,1.8691271398253793,1.6211887565814507,4.144352491560305,3.4301186528596395,0.9611150658845805,1.0
global,Lb,1.0,2.513249979664882,0.0,2.2132500036774823,2.513249979664882,0.0,2.2132500036774823,1.8222939727137097,1.6963360638826606,3.3826849149122684,2.975733244602335,0.6767925462751185,1.0
leave_one_out,Lb,1.0,,,,2.513249979664882,0.0,2.2132500036774823,1.960927390786783,1.8151532610972392,3.6720392998886777,3.230669261906704,0.7375840442832033,1.0
global,Lb,1.25,2.513249979664882,0.0,2.2132500036774823,3.141562474581103,0.0,2.7665625045968527,2.015245133623073,1.9237653462036506,3.3821647946992046,3.1055612340317604,0.6584679502065063,1.0
leave_one_out,Lb,1.25,,,,3.1415624745811033,0.0,2.766562504596853,2.1810986554133454,2.0329481662437523,3.668393913306601,3.426322511557834,0.7207153733463433,1.0
global,Lab,0.0,2.513249979664882,0.18433333250383535,2.2132500036774823,0.0,0.0,0.0,2.7887809151844305,2.1265446662105925,5.676284206630864,5.260665570629254,1.5489518093968175,0.8333333333333334
leave_one_out,Lab,0.0,,,,0.0,0.0,0.0,2.7887809151844305,2.1265446662105925,5.676284206630864,5.260665570629254,1.5489518093968175,0.8333333333333334
global,Lab,0.25,2.513249979664882,0.18433333250383535,2.2132500036774823,0.6283124949162205,0.04608333312595884,0.5533125009193706,2.2729989895435034,1.704870309278519,5.081916741482064,4.580699149497668,1.4227772455102632,0.9166666666666666
leave_one_out,Lab,0.25,,,,0.6283124949162205,0.04608333312595884,0.5533125009193706,2.2968610791235826,1.726968542267958,5.162032812572708,4.642792654216115,1.4437435598465393,0.9166666666666666
global,Lab,0.5,2.513249979664882,0.18433333250383535,2.2132500036774823,1.256624989832441,0.09216666625191768,1.1066250018387411,1.9357258061261382,1.4075553273564432,4.508167218286537,3.9255867890170992,1.1903093624693224,1.0
leave_one_out,Lab,0.5,,,,1.256624989832441,0.09216666625191768,1.1066250018387411,2.005136232774667,1.4270892135851785,4.66919257491588,4.051765757263833,1.222474067764027,1.0
global,Lab,0.75,2.513249979664882,0.18433333250383535,2.2132500036774823,1.8849374847486615,0.13824999937787652,1.6599375027581118,1.8009932740591996,1.5679904513903447,3.9607333999389365,3.312284397186069,0.9174581372403883,1.0
leave_one_out,Lab,0.75,,,,1.8849374847486617,0.13824999937787652,1.6599375027581118,1.9239191923938384,1.6939246270483712,4.20304250351039,3.5046196606204045,0.9649918305002881,1.0
global,Lab,1.0,2.513249979664882,0.18433333250383535,2.2132500036774823,2.513249979664882,0.18433333250383535,2.2132500036774823,1.8610358449180937,1.7328183194569173,3.448402194396466,2.974168745731694,0.6882457345528439,1.0
leave_one_out,Lab,1.0,,,,2.513249979664882,0.18433333250383535,2.2132500036774823,2.0318025824722246,1.8904164470457097,3.7709112889920724,3.2490289667381687,0.7534216589179024,1.0
global,Lab,1.25,2.513249979664882,0.18433333250383535,2.2132500036774823,3.141562474581103,0.23041666562979418,2.7665625045968527,2.062658617930713,1.9192959138510024,3.327792133978404,3.139238027596397,0.6652571828501063,1.0
leave_one_out,Lab,1.25,,,,3.1415624745811033,0.2304166656297942,2.766562504596853,2.2694258506945606,2.090438281715935,3.6223119155122823,3.4906572836475727,0.7298346910061243,1.0
