patch_index,captured_R,captured_G,captured_B,corrected_R,corrected_G,corrected_B,reference_R,reference_G,reference_B,deltaE_before,deltaE_after
1,66.90899658203125,41.909000396728516,36.909000396728516,109.97899627685547,88.71700286865234,76.26799774169922,115.0,82.0,68.0,14.3708,4.8636
2,159.05799865722656,125.03500366210938,116.10399627685547,195.08099365234375,147.0989990234375,123.0270004272461,194.0,150.0,130.0,10.0416,1.729
3,59.28799819946289,91.2509994506836,142.60400390625,90.8270034790039,113.80699920654297,151.81199645996094,98.0,122.0,157.0,11.8555,3.24
4,54.46200180053711,70.45899963378906,33.46200180053711,94.47899627685547,106.36299896240234,73.8759994506836,87.0,108.0,67.0,12.7113,3.5667
5,93.84600067138672,101.84600067138672,166.61000061035156,124.24700164794922,119.9530029296875,174.60400390625,133.0,128.0,177.0,12.0809,3.2369
6,100.18699645996094,174.98800659179688,170.09100341796875,99.9000015258789,189.8459930419922,167.96400451660156,103.0,189.0,170.0,6.3519,1.0268
7,171.79400634765625,89.75599670410156,25.10300064086914,214.78700256347656,122.81199645996094,50.65599822998047,214.0,126.0,44.0,13.8847,2.386
8,26.663999557495117,58.66299819946289,159.85699462890625,74.00499725341797,88.03399658203125,170.85699462890625,80.0,91.0,166.0,10.9642,1.6291
9,147.10000610351562,54.095001220703125,75.0979995727539,193.4550018310547,88.73500061035156,94.38800048828125,193.0,90.0,99.0,14.1886,1.36
10,43.709999084472656,18.823999404907227,76.79100036621094,95.62100219726562,77.03500366210938,103.20099639892578,94.0,60.0,108.0,13.7434,8.0396
11,134.98399353027344,160.18099975585938,42.41600036621094,154.91799926757812,186.1750030517578,64.08000183105469,157.0,188.0,64.0,7.9632,0.5611
12,185.10800170898438,128.2570037841797,21.39299964904785,223.10899353027344,158.80799865722656,42.12799835205078,224.0,163.0,46.0,11.0185,1.3681
13,0.8650000095367432,25.57200050354004,125.47599792480469,72.19499969482422,77.02799987792969,141.4759979248047,56.0,61.0,150.0,10.3309,5.9652
14,59.59700012207031,114.50800323486328,49.43600082397461,86.0780029296875,140.0240020751953,76.96700286865234,70.0,148.0,73.0,12.1506,3.8397
15,121.27999877929688,23.812999725341797,32.95100021362305,166.66099548339844,76.9000015258789,69.947998046875,175.0,54.0,60.0,12.4893,5.2615
16,198.85000610351562,171.83799743652344,22.849000930786133,230.85000610351562,200.83900451660156,33.14899826049805,231.0,199.0,31.0,7.5297,0.6365
17,141.09100341796875,57.597999572753906,134.3560028076172,188.82400512695312,82.17400360107422,148.51100158691406,187.0,86.0,149.0,13.1076,0.8439
18,31.81399917602539,113.5530014038086,158.1580047607422,51.26100158691406,130.6510009765625,162.35299682617188,8.0,133.0,161.0,10.1141,3.6088
19,216.08999633789062,228.08200073242188,244.0989990234375,241.08399963378906,240.06500244140625,236.1649932861328,240.04299926757812,240.04299926757812,239.10000610351562,8.6117,1.4834
20,175.12600708007812,187.7050018310547,207.96600341796875,199.12600708007812,200.7050018310547,204.9720001220703,199.5,199.5,199.5,9.7958,2.2459
21,128.8730010986328,140.73699951171875,156.78199768066406,154.0449981689453,158.13499450683594,160.5290069580078,161.78599548339844,161.78599548339844,161.78599548339844,10.8919,2.5629
22,85.46900177001953,91.86900329589844,103.07099914550781,118.2760009765625,118.38500213623047,117.07599639892578,125.95700073242188,125.95700073242188,125.01399993896484,14.9806,3.0083
23,44.62300109863281,48.62300109863281,57.62300109863281,91.56600189208984,91.05699920654297,87.56600189208984,91.07099914550781,91.07099914550781,91.07099914550781,15.314,2.1171
24,4.959000110626221,7.604000091552734,12.604000091552734,78.8290023803711,78.50900268554688,71.10900115966797,59.957000732421875,59.957000732421875,59.957000732421875,15.2436,7.4997
